_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-515364,,2013-08-22T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,"Gribskov, Ostrup Kobbel",Denmark,56.02381,12.33695,0,Bjørn W. Pedersen,jord eller humus,løvskov,bøg (Fagus),I vejkantens græs.,"Ingen speciel sæbelugt - ej heller iflg Jan, der var med. Men det er alligevel mit bedste bud. Hathud fedtet. Lameller stedvis gulnende. BELÆG?",Bjørn W. Pedersen,Thomas Læssøe,https://svampe.databasen.org/observations/515364,1
DMS-641275,,2013-10-08T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Allindelille Fredskov,Denmark,55.51595,11.77612,25,Tom Smidth,jord eller humus,løvskov,bøg (Fagus),,,Tom Smidth,Thomas Læssøe,https://svampe.databasen.org/observations/641275,1
DMS-683036,,2014-09-25T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,"Tårbæk, Cottageparken",Denmark,55.78089,12.59072,2500,Tom Smidth,jord eller humus,park/kirkegård,,,okkergul glat hat med lidt kamfuret rand. Ring kun som tynd rest på stok. hudagtig pose ved den kun lidt udvidede rod. Går i stå i nøglen omkring ring/ikke ring. Hvis jeg vælger ikke ring går jeg vild,Tom Smidth,Thomas Læssøe,https://svampe.databasen.org/observations/683036,1
DMS-9167578,,2016-07-13T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Aldershvile Slotspark,Denmark,55.77015217747801,12.454839991405604,5,Tobias Bøllingtoft,jord eller humus,græsplæne,eg (Quercus),,,Tobias Bøllingtoft,Tobias Bøllingtoft,https://svampe.databasen.org/observations/9167578,1
DMS-9167595,,2016-07-13T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Mariebjerg Kirkegård,Denmark,55.76034990679016,12.510033398866652,75,Tobias Bøllingtoft,jord eller humus,park/kirkegård,,Under løvtræer i mosfyldt plæne.,"Både den hvidlige form og den almindelige grønne. 15 minutters besøg på gravsted, men så ud til at der var mange svampe fremme. ",Tobias Bøllingtoft,Tobias Bøllingtoft,https://svampe.databasen.org/observations/9167595,1
DMS-9167803,,2016-07-16T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Hornsved,Denmark,55.91343495,11.92183803,6,Thomas Stjernegaard Jeppesen,jord eller humus,vejkant,bøg (Fagus sylvatica),,,Thomas Stjernegaard Jeppesen,Thomas Stjernegaard Jeppesen,https://svampe.databasen.org/observations/9167803,1
DMS-9173531,,2016-09-12T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Skåde Skov,Denmark,56.10410743776509,10.236070174723864,10,Flemming V. Larsen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,"Næsten helt hvid - blot nogle få strejf af grønt på hatten
",Flemming V. Larsen,Flemming V. Larsen,https://svampe.databasen.org/observations/9173531,1
DMS-9174133,,2016-09-19T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Krogelund (Krogenlund),Denmark,55.82563577043086,12.239485681056976,75,Lisbeth Brendstrup,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),gammel bøgeskov med sparsom undervækst og morbund,coming up,Lisbeth Brendstrup,Lisbeth Brendstrup,https://svampe.databasen.org/observations/9174133,1
DMS-9175289,,2016-09-24T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Merretskov,Denmark,54.81352152439307,11.481929272413254,50,Tom Smidth,jord eller humus,løvskov,bøg (Fagus),,,Tom Smidth,Tom Smidth,https://svampe.databasen.org/observations/9175289,1
DMS-9176600,,2016-09-29T00:00:00.000Z,approved,63478,Amanita phalloides,,grøn fluesvamp,LC,Hydeskov,Denmark,54.76566632604666,11.71361231856281,25,Flemming Ryden,jord eller humus,nåleskov/plantage,ædelgran (Abies),flere små grupper med svampen,"vammel lugt og adskillige svampebøger,Voksestedet er ukarakteristisk,men en lille tynd pind af en bøg stod 15 meter derfra,sandsynligvis er det ikke den, der er værten.Har fundet den dér før.",Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/9176600,1
