"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-496146","SL83029","1983-10-23T00:00:00.000Z","approved",14119,"Galerina marginata","Galerina autumnalis","randbæltet hjelmhat","LC","Moesgård Skov, Giber Å","Denmark",56.089,10.243,50,"Sten Larris","ved","løvskov","bøg (Fagus)","På ret stor bøgestub","Litt: Mos 422, DS 454, BK V nr 408-9 men jeg gågår nu ind for at kalde den G. marginata var automnalis. Typisk er den let fedtede, ensfarvede, aftrækkelige hathud, og voksestedet. ","Sten Larris","Sten Larris","https://svampe.databasen.org/observations/496146"
"DMS-61938","","2009-09-18T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Slåensø","Denmark",56.12525,9.62668,50,"Lise Samsø","ved","blandskov (med løv- og nåletræer)","gran (Picea)","","","Lise Samsø","Lise Samsø","https://svampe.databasen.org/observations/61938"
"DMS-74548","","2009-10-21T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Torstedlund Skov","Denmark",56.80463,9.75706,10,"Erik Arnfred Thomsen","ved","løvskov med naturskovspræg","bøg (Fagus)","På gammelt bøgestød","Ikke beskrevet","Erik Arnfred Thomsen","Jan Vesterholt","https://svampe.databasen.org/observations/74548"
"DMS-76082","","2009-10-27T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Storring Præstegårds Skov","Denmark",56.12632,9.9207,75,"Lise Samsø","jord eller humus","blandskov (med løv- og nåletræer)","gran (Picea)","mos","","Lise Samsø","Jan Vesterholt","https://svampe.databasen.org/observations/76082"
"DMS-77636","","2009-11-02T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Viemose","Denmark",56.00961,9.958934,150,"Jens Mårbjerg","ved","løvskov med naturskovspræg","pil (Salix)","","","Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/77636"
"DMS-78340","","2009-11-05T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Hyrdehøj","Denmark",55.62795,12.05398,50,"Tom Smidth","træflis og savsmuld","nåleskov/plantage","fyr (Pinus)","","Jeg kan ikke få den til at passe med andet end randbæltet, selv om ringen her er mindre end normalt","Tom Smidth","Tom Smidth","https://svampe.databasen.org/observations/78340"
"DMS-80618","","2009-11-15T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Hobro Skov","Denmark",56.63565,9.81307,25,"Jens Chr. Schou","ved","løvskov","","","Ingen sporer større end 10 my. Cystidier på både lamelrand og flade. Såvidt jeg kan se er basidierne 4 sporede. Voksede på en storl, henrådnende bøgestamme.","Jens Chr. Schou","Jens Chr. Schou","https://svampe.databasen.org/observations/80618"
"DMS-82763","","2009-11-20T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Vejlø Skov","Denmark",55.16353,11.72261,100,"Martin Vestergaard","ved","løvskov","","","","Martin Vestergaard","Martin Vestergaard","https://svampe.databasen.org/observations/82763"
"DMS-83148","","2009-11-20T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Gribskov, Fruebjerg","Denmark",55.97548,12.27591,50,"Margot Nielsen","ved","løvskov","bøg (Fagus)","","Hvidligt filtet på stokken. Se foto. Jo, der er en orangeagtig ring, og hatten er også randstribet, se eksemplaret th i billedet. (Jeg kan ikke komme til at sende svaret som et  ""svar på validators spørgsmål"". Men derudover, er det rart, at databasen er blevet justeret lidt.)","Margot Nielsen","Margot Nielsen","https://svampe.databasen.org/observations/83148"
"DMS-85444","","2009-12-06T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Tirsbæk","Denmark",55.72196,9.63808,10,"Margaretha Liebmann","mos","løvskov med naturskovspræg","","i mos på løvtræstub","Hat gulbrun, 10 mm, lam.ngt lysere, stok med kraftig ring, 25x2 mm, cyl. Sp ellipsoide, lysebrune, 8-8,5x5-5,5 my, cystider flaskeformede. ","Margaretha Liebmann","Jan Vesterholt","https://svampe.databasen.org/observations/85444"
