_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-4644,,2009-04-19T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,Tisvilde Hegn,Denmark,56.04328,12.07475,75,Anne Storgaard,jord eller humus,nåleskov/plantage,fyr (Pinus),,Kendt mycelium,Anne Storgaard,Anne Storgaard,https://svampe.databasen.org/observations/4644,1
DMS-4671,,2009-04-21T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,"Vestskoven, København",Denmark,55.69509,12.35172,1000,Frank Desting,jord eller humus,nåleskov/plantage,,,"5 (et stort og fire små, tørre frugtlegemer i granskov, fundet og bestemt af HM)",Frank Desting,Frank Desting,https://svampe.databasen.org/observations/4671,1
DMS-81934,,2006-04-24T00:00:00.000Z,Validation in progress,14454,Gyromitra esculenta,,ægte stenmorkel,LC,Fovrfeld,Denmark,55.49568,8.41802,75,Per Poulsen,"urtestængler, græsstrå mv.",græsplæne,,,,Per Poulsen,Per Poulsen,https://svampe.databasen.org/observations/81934,2
DMS-92753,,2010-05-02T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,"Tisvilde Hegn, Frøbakke",Denmark,56.0497,12.07895,75,Jørgen Vingborg,jord eller humus,nåleskov/plantage,,,Kendt mycelium: 2008 >50 frl. 2009 3 frl. 2010 2 frl. Ca. 10 meter fra Stor Stenmorkel indrap. 18/4,Jørgen Vingborg,Jørgen Vingborg,https://svampe.databasen.org/observations/92753,1
DMS-92930,,2010-05-02T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,Randbøl Hede,Denmark,55.66197,9.140706,150,Hanne Farnæs,"løv- eller nåledække, løse blade og nåle",nåleskov/plantage,,,stod langs sti,Hanne Farnæs,,https://svampe.databasen.org/observations/92930,1
DMS-94106,,2010-05-16T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,"Vestskoven, København",Denmark,55.68407,12.35734,50,Tom Smidth,jord eller humus,nåleskov/plantage,gran (Picea),,,Tom Smidth,Tom Smidth,https://svampe.databasen.org/observations/94106,1
DMS-102912,,2010-04-29T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,Neder Julianehede,Denmark,56.17496,9.29659,50,Niels V. Mogensen,jord eller humus,nåleskov/plantage,,,,Niels V. Mogensen,Niels V. Mogensen,https://svampe.databasen.org/observations/102912,1
DMS-139558,,2009-04-10T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,Neder Julianehede,Denmark,56.17478,9.29692,50,Niels V. Mogensen,jord eller humus,nåleskov/plantage,,,,"Niels V. Mogensen, Henrik F. Gøtzsche",Henrik F. Gøtzsche,https://svampe.databasen.org/observations/139558,1
DMS-148183,,2011-04-20T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,Store Hørbyhøj,Denmark,56.13756,9.38293,75,Alex Jensen,jord eller humus,nåleskov/plantage,,,Ved gl. granstubbe,Alex Jensen,Alex Jensen,https://svampe.databasen.org/observations/148183,1
DMS-148808,,2011-05-01T00:00:00.000Z,approved,14454,Gyromitra esculenta,,ægte stenmorkel,LC,"Tisvilde Hegn, Frøbakke",Denmark,56.04597,12.07895,100,Jørgen Vingborg,jord eller humus,nåleskov/plantage,,,3 mellemstore frl. og 3 ganske små indtørrede frl.,,Jørgen Vingborg,https://svampe.databasen.org/observations/148808,1
