_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-4313,,2009-04-15T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Hedensted,Denmark,55.77566,9.71432,75,Jette Anitha Hansen,jord eller humus,have,,,"Heksering, hvoraf de største er 3½ cm i diameter,-er tilstede hvert forår.Stærk mellugt.",Jette Anitha Hansen,,https://svampe.databasen.org/observations/4313,1
DMS-8002,,2009-06-08T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Sømosen,Denmark,55.73159,12.40456,1000,Frank Desting,jord eller humus,mose,,,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/8002,1
DMS-8061,,2009-06-09T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Byskoven (Hospitalsparken),Denmark,55.73373,12.43748,1000,Frank Desting,jord eller humus,park/kirkegård,,,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/8061,1
DMS-8185,,2009-06-13T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,"Gribskov, Gribsø Trinbræt",Denmark,55.97923,12.29765,100,Margot Nielsen,ved,blandskov (med løv- og nåletræer),,,,Margot Nielsen,Margot Nielsen,https://svampe.databasen.org/observations/8185,1
DMS-93585,,2010-05-09T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Vestvolden,Denmark,55.68369,12.43093,150,Bjørn W. Pedersen,jord eller humus,løvskov,,,Selv dette forårsfund er fotograferet,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/93585,1
DMS-94292,,2010-05-18T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Sømosen,Denmark,55.73378,12.40219,100,Frank Desting,jord eller humus,mose,,, (flokvis under løvtræer og buske),Frank Desting,Frank Desting,https://svampe.databasen.org/observations/94292,1
DMS-94332,,2010-05-19T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Fedtmosen,Denmark,55.75529,12.43152,25,Frank Desting,jord eller humus,mose,,,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/94332,1
DMS-94460,,2010-05-21T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Vestvolden,Denmark,55.67289,12.42466,500,Bjørn W. Pedersen,jord eller humus,løvskov,,,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/94460,1
DMS-94500,,2010-05-21T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,"Gribskov, Smørstenen",Denmark,55.99473,12.32863,150,Bjørn W. Pedersen,jord eller humus,nåleskov/plantage,gran (Picea),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/94500,1
DMS-94545,,2010-05-22T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Karlstrup Mose,Denmark,55.55476,12.24379,50,Tom Smidth,jord eller humus,blandskov (med løv- og nåletræer),,,,Tom Smidth,Tom Smidth,https://svampe.databasen.org/observations/94545,1
DMS-94619,,2010-05-23T00:00:00.000Z,approved,11237,Calocybe gambosa,,vårmusseron,LC,Sømosen,Denmark,55.73325,12.4094,75,Frank Desting,jord eller humus,mose,,,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/94619,1
