"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-8169","","2009-06-13T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Østerild Klitplantage","Denmark",57.03587,8.87221,10,"Peter Lausted","jord eller humus","nåleskov/plantage","","","Hat oranggul, hvælvet til affladet, glat og ej anløbende ved      tryk. Undersidemed lister og tværgående årer, orangegul.Stok tilspidset forneden, ej anløbende ved såring. Smag som kantareller. Foto følger om muligt.  -    Ja, så er svampen blevet bestemt af Jan Vesterholt til at være en Cantharellus cibarius.  ","Peter Lausted","Jan Vesterholt","https://svampe.databasen.org/observations/8169"
"DMS-8176","","2009-06-13T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Gribskov, Gribsø Trinbræt","Denmark",55.97923,12.29765,100,"Margot Nielsen","jord eller humus","blandskov (med løv- og nåletræer)","eg (Quercus)","","","Margot Nielsen","Margot Nielsen","https://svampe.databasen.org/observations/8176"
"DMS-9771","","2009-07-14T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Denderup Vænge","Denmark",55.25303,11.97461,25,"Leo de Jong","jord eller humus","løvskov","","","voksede på skrænt ned til møllebækken. ret bart.","Leo de Jong","Leo de Jong","https://svampe.databasen.org/observations/9771"
"DMS-10427","","2009-07-22T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Hampen Sø","Denmark",56.02508,9.39732,10,"Jette Anitha Hansen","jord eller humus","blandskov (med løv- og nåletræer)","nåletræ (nåletræ)","[Associated organism: Nåletræ, birk og Eg.]","","Jette Anitha Hansen","Jette Anitha Hansen","https://svampe.databasen.org/observations/10427"
"DMS-10519","","2009-07-22T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Silkeborg Sønderskov","Denmark",56.1161,9.61179,25,"Morten Strandberg","jord eller humus","løvskov","bøg (Fagus)","","","Morten Strandberg","Morten Strandberg","https://svampe.databasen.org/observations/10519"
"DMS-11398","","2009-07-28T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Gribskov, Hvidekilde","Denmark",56.00664,12.26984,75,"Tom Smidth","jord eller humus","løvskov med naturskovspræg","","","","Tom Smidth","Tom Smidth","https://svampe.databasen.org/observations/11398"
"DMS-47948","","2009-07-30T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Store Hareskov","Denmark",55.76747,12.41423,1000,"Frank Desting","jord eller humus","løvskov","","","1 modent (deformt) frl. på mager bund i udkanten af bøgeskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/47948"
"DMS-54173","","2009-08-23T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Hoverdal Plantage","Denmark",56.16916,8.41244,100,"Morten Strandberg","jord eller humus","nåleskov/plantage","gran (Picea)","","Også helt hvide eksemplarer","Morten Strandberg","Morten Strandberg","https://svampe.databasen.org/observations/54173"
"DMS-54686","","2009-08-19T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Rettestrup Plantage","Denmark",55.17803,11.77601,75,"Frede Scheye","jord eller humus","nåleskov/plantage","","","","Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/54686"
"DMS-59459","","2009-09-09T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Bøjstrup Skov","Denmark",56.40955,10.47562,100,"Allan Nielsen","jord eller humus","blandskov (med løv- og nåletræer)","","","","Allan Nielsen","Allan Nielsen","https://svampe.databasen.org/observations/59459"
"DMS-60328","","2009-09-08T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Jørgensgård Skov","Denmark",55.05206,9.448286,150,"Poul Olsen","jord eller humus","løvskov","","","http://www.fugleognatur.dk/forum/show_message.asp?MessageID=386018&ForumID=21","Poul Olsen","","https://svampe.databasen.org/observations/60328"
"DMS-95652","","2010-06-06T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Jægerspris Nordskov","Denmark",55.91987,11.96171,75,"Svend Aage Olsen","jord eller humus","løvskov","","på skråning ved St. Eskemosevej. [Associated organism: Eg.]","","Svend Aage Olsen","Svend Aage Olsen","https://svampe.databasen.org/observations/95652"
"DMS-97947","","2010-06-29T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Gurre Sø","Denmark",56.0331,12.48662,150,"Frank Desting","jord eller humus","løvskov","","","20 (omkring 20 små frl. flokvis voksende under bøg)","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/97947"
"DMS-98707","","2010-07-16T00:00:00.000Z","approved",11317,"Cantharellus cibarius","","almindelig kantarel","LC","Lystrup Skov, Slangerup","Denmark",55.86438,12.20924,150,"Bjørn W. Pedersen","jord eller humus","løvskov","bøg (Fagus)","","Det blev til 540 gram, renset vægt. Endelig lader det til, at vi får lidt gavn af regnen......","Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/98707"
