_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-392950,,2011-09-28T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Ringelmose Skov,Denmark,56.28484,10.49546,50,Rasmus Ejrnæs,jord eller humus,løvskov,bøg (Fagus),,,Rasmus Ejrnæs,Rasmus Ejrnæs,https://svampe.databasen.org/observations/392950,1
DMS-425025,,2011-10-24T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Ganløse Ore,Denmark,55.81329,12.31576,75,Svend Aage Olsen,jord eller humus,løvskov,bøg (Fagus),,,Svend Aage Olsen,Svend Aage Olsen,https://svampe.databasen.org/observations/425025,1
DMS-430015,,2011-11-13T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Ganløse Ore,Denmark,55.81315,12.31585,75,Svend Aage Olsen,jord eller humus,løvskov,bøg (Fagus),,,Svend Aage Olsen,Svend Aage Olsen,https://svampe.databasen.org/observations/430015,1
DMS-722923,,2015-10-09T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Mesing Sønderskov,Denmark,56.06303,9.92186,50,Jens Mårbjerg,jord eller humus,løvskov,bøg (Fagus),Flot mycelium på mosdækket skrænt,"Kender arten godt.Batteri fladt, så ikke foto.Næste dag:L Nu er der foto.",Jens Mårbjerg,Jens Mårbjerg,https://svampe.databasen.org/observations/722923,1
DMS-722977,,2015-10-05T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Staksrode Skov,Denmark,55.68154,9.85288,50,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,,,Jette Anitha Hansen,https://svampe.databasen.org/observations/722977,1
DMS-9179074,,2016-09-07T00:00:00.000Z,expert approved,11318,Craterellus cinereus,,grå kantarel,LC,Denderup Vænge,Denmark,55.25048141700552,11.97478244299418,25,Per Schilling,"løv- eller nåledække, løse blade og nåle",løvskov,bøg (Fagus),Stod på en lille skrænt under unge bøgetræsbuske og med 1 stort bøgetræ tæt på.,,Jill Rubini,Per Schilling,https://svampe.databasen.org/observations/9179074,1
DMS-9199822,,2017-07-29T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Hestehoved,Denmark,54.83275556,12.16268056,15,Rita Forup,jord eller humus,løvskov,bøg (Fagus),i mosdækket morbund tæt ved østvendt skrænt,,Rita Forup,Rita Forup,https://svampe.databasen.org/observations/9199822,1
DMS-9212117,,2017-09-16T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Sønder Stenderup,Denmark,55.46666,9.616666,2500,Tina Larsen,jord eller humus,løvskov,bøg (Fagus),,"Hat med nedtrykt midte mørk brun. Underside med nedadløbende lister forbundet af tværgående åre, grålige.
Stok grå/brun, hul stok. Dufter sødlig voksede i knipler.",Tina Larsen,Tina Larsen,https://svampe.databasen.org/observations/9212117,1
DMS-9215274,,2017-09-20T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Staksrode Skov,Denmark,55.686584950469225,9.864194871042857,75,Kirsten Nielsen,jord eller humus,blandskov (med løv- og nåletræer),bøg (Fagus),,Foto-eks's stok . 7 cm lang. Og lugten: kraftig solbær/frugtagtig,Kirsten Nielsen,Kirsten Nielsen,https://svampe.databasen.org/observations/9215274,1
DMS-9220710,,2017-10-01T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,"Horserød Hegn, Gurre Vang",Denmark,56.02601787172653,12.4749755859375,75,Poul Evald Hansen,jord eller humus,løvskov med naturskovspræg,,,,Poul Evald Hansen,Poul Evald Hansen,https://svampe.databasen.org/observations/9220710,1
DMS-9223827,,2017-10-06T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Gråsten Skovene,Denmark,54.92417,9.558085,2500,Jakob Helding Gandrup,"løv- eller nåledække, løse blade og nåle",løvskov,,,,Jakob Helding Gandrup,Jakob Helding Gandrup,https://svampe.databasen.org/observations/9223827,1
DMS-9224062,,2017-10-07T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Munkebjerg Skov (Strandskov),Denmark,55.68919444,9.60015,15,Camilla Skov Faldt,jord eller humus,løvskov,,,,Camilla Skov Faldt,Camilla Skov Faldt,https://svampe.databasen.org/observations/9224062,1
DMS-9228531,,2017-10-17T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Stouby Skov,Denmark,55.68627045041733,9.811598360538484,50,Jette Anitha Hansen,jord eller humus,løvskov,bøg (Fagus),,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/9228531,1
DMS-9229605,,2017-10-22T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,"Kolding, Marielund",Denmark,55.50281,9.48989,2500,Margaretha Liebmann,jord eller humus,blandskov (med løv- og nåletræer),bøg (Fagus),,Adskillige frl.,Margaretha Liebmann,Margaretha Liebmann,https://svampe.databasen.org/observations/9229605,1
DMS-9231563,,2017-10-30T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Ringelmose Skov,Denmark,56.27953200046573,10.498689654632472,75,Jørgen Christiansen,jord eller humus,løvskov,bøg (Fagus sylvatica),Under Bøgebevoksning,,Jørgen Christiansen,Jørgen Christiansen,https://svampe.databasen.org/observations/9231563,1
DMS-9236605,,2017-10-28T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,"Hestehave Skov, Kalø",Denmark,56.290631874665095,10.472819701535627,75,Lisbeth Brendstrup,jord eller humus,løvskov,bøg (Fagus),"I knipper sammen med stor trompetsvamp
Fundet af LIS Gottlieb.
",,Lisbeth Brendstrup,Lisbeth Brendstrup,https://svampe.databasen.org/observations/9236605,1
DMS-9328347,,2018-09-10T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Skåde Skov,Denmark,56.09989495182929,10.23518733702076,5,Flemming V. Larsen,jord eller humus,blandskov (med løv- og nåletræer),bøg (Fagus),,,Flemming V. Larsen,Flemming V. Larsen,https://svampe.databasen.org/observations/9328347,1
DMS-9328353,,2018-09-10T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Blommehaven,Denmark,56.111490143429386,10.23181647149613,25,Flemming V. Larsen,jord eller humus,løvskov,bøg (Fagus),,,Flemming V. Larsen,Flemming V. Larsen,https://svampe.databasen.org/observations/9328353,1
DMS-9328639,,2018-09-10T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Munkebjerg Skov (Strandskov),Denmark,55.68768568073204,9.637361525965389,25,Ken A. Alminde,jord eller humus,løvskov,bøg (Fagus sylvatica),,Set fåtalligt knippevoksende under bøg i kuperet terræn.,Ken A. Alminde,Ken A. Alminde,https://svampe.databasen.org/observations/9328639,1
DMS-9348490,,2018-11-01T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Staksrode Skov,Denmark,55.68822998644554,9.87075233249925,75,Kirsten Nielsen,jord eller humus,blandskov (med løv- og nåletræer),løvtræ (løvtræ),,,Kirsten Nielsen,Kirsten Nielsen,https://svampe.databasen.org/observations/9348490,1
DMS-10034887,,2019-09-16T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Lellinge Frihed,Denmark,55.4410594292943,12.090502381324766,5,Per Schilling,jord eller humus,løvskov,bøg (Fagus),Stod sammen med trompetsvampe,,Per Schilling,Jacob Heilmann-Clausen,https://svampe.databasen.org/observations/10034887,1
DMS-10035059,,2019-09-16T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Blommehaven,Denmark,56.111382464220746,10.23156496725278,25,Flemming V. Larsen,jord eller humus,løvskov,bøg (Fagus),,,Flemming V. Larsen,Flemming V. Larsen,https://svampe.databasen.org/observations/10035059,1
DMS-10036869,,2019-09-21T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Lellinge Frihed,Denmark,55.44070035530206,12.09004211006686,75,Thomas Kehlet,jord eller humus,løvskov,bøg (Fagus sylvatica),,,"Per Schilling, Thomas Kehlet, Jill Rubini",Thomas Kehlet,https://svampe.databasen.org/observations/10036869,1
DMS-10043252,,2019-10-03T00:00:00.000Z,approved,11318,Craterellus cinereus,,grå kantarel,LC,Enemærket Skov (Moesgård),Denmark,56.084860279187616,10.241886107542086,25,Flemming V. Larsen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,,Flemming V. Larsen,Flemming V. Larsen,https://svampe.databasen.org/observations/10043252,1
