_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-70307,,2009-10-09T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,Fornæs Fyr,Denmark,56.44517,10.95609,25,Jens Chr. Schou,jord eller humus,overdrev,,,,Jens Chr. Schou,Jens Chr. Schou,https://svampe.databasen.org/observations/70307,1
DMS-452613,,2012-08-05T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,"Bo Bakker, Helnæs",Denmark,55.17607,9.98842,50,Leif Wegge Laursen,jord eller humus,overdrev,,,,Leif Wegge Laursen,Leif Wegge Laursen,https://svampe.databasen.org/observations/452613,1
DMS-483163,SL12094,2012-10-20T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,Knudshoved,Denmark,56.5304,10.8364,15,Sten Larris,jord eller humus,strandeng,,[Associated organism: græs],,Sten Larris,Sten Larris,https://svampe.databasen.org/observations/483163,1
DMS-9201123,,2017-07-16T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,Hoverdal Plantage,Denmark,56.17489669727024,8.392181396484375,75,Hanne Petra Katballe,jord eller humus,nåleskov/plantage,,Lille flok på grusvej og brandbælte,,"Hanne Petra Katballe, David Boertmann",Hanne Petra Katballe,https://svampe.databasen.org/observations/9201123,1
DMS-9202788,,2017-08-12T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,"Tisvilde Hegn, Asserbo slotsruin",Denmark,56.025388344412605,12.052632808554335,10,Thomas Læssøe,jord eller humus,overdrev,,,,Thomas Læssøe,Thomas Læssøe,https://svampe.databasen.org/observations/9202788,1
DMS-9203955,,2017-08-17T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,Pandehave Å,Denmark,56.08078338726379,12.412681817877456,10,Thomas Læssøe,jord eller humus,overdrev,,,,Thomas Læssøe,Thomas Læssøe,https://svampe.databasen.org/observations/9203955,1
DMS-10036060,,2019-09-19T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,"Høgdal, Rodelund",Denmark,56.10672189983681,9.61789364595461,25,Morten Strandberg,jord eller humus,overdrev,,,,Morten Strandberg,Morten Strandberg,https://svampe.databasen.org/observations/10036060,1
DMS-10162362,,2021-01-09T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,Egtved,Denmark,55.6178,9.310962,2500,Anne,"urtestængler, græsstrå mv.",skovmose,,"Mellem 15-20 cm høj, ca. 8 cm i diameter. Lå løst på jorden/det mellemhøje græs.",,Anne,Anne,https://svampe.databasen.org/observations/10162362,1
DMS-10441500,,2024-08-01T00:00:00.000Z,approved,43397,Lycoperdon utriforme,Calvatia utriformis,skællet støvbold,LC,"Tisvilde Hegn, Tisvildekysten",Denmark,56.05170581735123,12.050457000732422,25,Ole Martin,jord eller humus,klit,,,,Ole Martin,Ole Martin,https://svampe.databasen.org/observations/10441500,1
DMS-7419,,2009-05-28T00:00:00.000Z,approved,43397,Lycoperdon utriforme,,skællet støvbold,LC,Røde Mølle,Denmark,56.82672,9.80388,10,Erik Arnfred Thomsen,jord eller humus,overdrev,,,,Erik Arnfred Thomsen,Erik Arnfred Thomsen,https://svampe.databasen.org/observations/7419,1
