"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-63017","","2009-09-19T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Krakamarken","Denmark",56.40813,10.10495,2,"Kirsten Nielsen","jord eller humus","overdrev","","","","Kirsten Nielsen","Kirsten Nielsen","https://svampe.databasen.org/observations/63017"
"DMS-125378","","2010-10-09T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Hjortespring","Denmark",55.73951,12.4312,50,"Frank Desting","jord eller humus","park/kirkegård","fyr (Pinus)","i græs under fyr","2","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/125378"
"DMS-372599","","2011-09-17T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Bjergene","Denmark",55.80228,11.39249,10,"Hans Henrik Bruun","jord eller humus","overdrev","","under Pinus contorta","","Hans Henrik Bruun","Hans Henrik Bruun","https://svampe.databasen.org/observations/372599"
"DMS-396342","","2011-10-05T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Bjerge Nordstrand","Denmark",55.59523,11.14559,50,"Martin Vestergaard","jord eller humus","overdrev","fyr (Pinus)","","","Martin Vestergaard","Martin Vestergaard","https://svampe.databasen.org/observations/396342"
"DMS-422922","","2011-10-18T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Dueodde","Denmark",55.03215,15.08011,75,"Frank Desting","jord eller humus","klit","fyr (Pinus)","3 modne frl. under fyr","","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/422922"
"DMS-463214","","2012-09-16T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Kompedal Plantage","Denmark",56.26522,9.2451,25,"Niels V. Mogensen","jord eller humus","pilemose/-krat","fyr (Pinus)","Langs skovvej med pilekrat og enkelte fyr","","Torbjørn Borgen","Torbjørn Borgen","https://svampe.databasen.org/observations/463214"
"DMS-486337","","2012-10-23T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Birkerød","Denmark",55.83307,12.42298,2,"Mogens Holm","jord eller humus","have","","I næringsfattig græsplæne [Associated organism: fyr (Pinus) klitfyr eller bjergfyr]","Ikke lige den art jeg forventede at finde i en græsplæne i et villakvarter i Birkerød.","Mogens Holm","Mogens Holm","https://svampe.databasen.org/observations/486337"
"DMS-486777","","2012-10-06T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Melby","Denmark",55.99024,11.99553,50,"Louise Widenborg","jord eller humus","vejkant","fyr (Pinus)","","","Louise Widenborg","Louise Widenborg","https://svampe.databasen.org/observations/486777"
"DMS-495817","","1989-10-26T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Hasle Bakkelandskab","Denmark",56.1616,10.14886,25,"Lise Samsø","jord eller humus","græsplæne","fyr (Pinus)","","en stribe fyrre træer","Lise Samsø","Lise Samsø","https://svampe.databasen.org/observations/495817"
"DMS-638423","","2013-09-29T00:00:00.000Z","approved",15834,"Lactarius deliciosus","","velsmagende mælkehat","LC","Asserbo Plantage","Denmark",56.02587,12.00042,75,"Anne Storgaard","jord eller humus","nåleskov/plantage","fyr (Pinus)","","Troede i felten at det var Tvefarvet Mælkehat, men mælken var vedblivende orange og sporeornamentationen var ikke specielt kraftig.","Anne Storgaard","Anne Storgaard","https://svampe.databasen.org/observations/638423"
