"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-68083","","2009-10-05T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum populinum","rustrød skælrørhat",,"Baldersbæk Plantage","Denmark",55.631577,8.89513,75,"Flemming V. Larsen","jord eller humus","blandskov (med løv- og nåletræer)","","[Associated organism: eg (Quercus); bævreasp (Populus)]","","Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/68083"
"DMS-459372","","2012-08-30T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum populinum","rustrød skælrørhat",,"Tolne Bakker","Denmark",57.48445,10.33222,10,"Lisbeth Brendstrup","jord eller humus","blandskov (med løv- og nåletræer)","poppel (Populus)","","","Lisbeth Brendstrup","Lisbeth Brendstrup","https://svampe.databasen.org/observations/459372"
"DMS-480421","","2012-10-14T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum populinum","rustrød skælrørhat",,"Borresø","Denmark",56.12655,9.59342,25,"Morten Strandberg","jord eller humus","blandskov (med løv- og nåletræer)","bævreasp (Populus tremula)","","rødbrun hat, skæl mørkt rødlige, kød først rødmende siden sort - foto følger","Morten Strandberg","Morten Strandberg","https://svampe.databasen.org/observations/480421"
"DMS-59891","","2009-09-10T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Bolderslev Skov","Denmark",55.0021,9.357007,100,"Poul Olsen","løv- eller nåledække, løse blade og nåle","løvskov med naturskovspræg","","","http://www.fugleognatur.dk/forum/show_message.asp?MessageID=386932&ForumID=21Jeg skal i skoven for at finde belæg, men har flere billeder","Poul Olsen","","https://svampe.databasen.org/observations/59891"
"DMS-66322","","2009-09-30T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Pinseskoven, Vestamager","Denmark",55.5927,12.55888,100,"Benny T. Olsen","jord eller humus","løvskov","","[Associated organism: bævreasp (Populus)]","Foto kommer! Belæg er under tørring.","Benny T. Olsen","Benny T. Olsen","https://svampe.databasen.org/observations/66322"
"DMS-67862","","2009-10-05T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Tinnet Krat","Denmark",55.90656,9.38236,10,"Jens Mårbjerg","jord eller humus","egekrat","eg (Quercus)","","","Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/67862"
"DMS-104155","DB 2010/25","2010-08-18T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Eskær Skov","Denmark",56.68957,9.12354,25,"David Boertmann","jord eller humus","løvskov","eg (Quercus)","eg og bøg de eneste træer i området","","David Boertmann","David Boertmann","https://svampe.databasen.org/observations/104155"
"DMS-104697","","2010-08-19T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Løgtholtsled","Denmark",57.20555,10.29191,10,"Erik Arnfred Thomsen","jord eller humus","løvskov","","[Associated organism: bævreasp (Populus)]","Rødbrun - synes den mangler i atlas-nøglen ? havde sorte skæl og groede under bævreasp","Erik Arnfred Thomsen","Thomas Læssøe","https://svampe.databasen.org/observations/104697"
"DMS-106474","","2010-08-24T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Stenholt Skov","Denmark",56.19444,9.350758,150,"Alex Jensen","jord eller humus","egekrat","","","Jeg vil bede om at få slettet dette indlæg. ","Alex Jensen","Alex Jensen","https://svampe.databasen.org/observations/106474"
"DMS-107651","","2010-08-28T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Skærven, Løsning","Denmark",55.81051,9.69725,10,"Margaretha Liebmann","jord eller humus","vejkant","","muld på sand [Associated organism: eg-bævreasp]","Hathud overhængende (3 mm), blågrønt v stokbasis, kød noget grånende, stokskæl rødbrune. + belæg","Margaretha Liebmann","Margaretha Liebmann","https://svampe.databasen.org/observations/107651"
"DMS-110666","","2010-09-04T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Hedegårde","Denmark",56.72383,9.97638,25,"Rasmus Ejrnæs","jord eller humus","løvskov med naturskovspræg","eg (Quercus)","[Associated organism: eg (Quercus), bævreasp (Populus)]","","Rasmus Ejrnæs","Rasmus Ejrnæs","https://svampe.databasen.org/observations/110666"
"DMS-114510","","2010-09-12T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Græsted Hegn","Denmark",56.06384,12.26452,75,"Anne Storgaard","jord eller humus","løvskov","","Under bøg (Fagus). Eg eller poppel sås ikke i nærheden, selv efter ivrig søgen af flere turdeltagere.","hat 6 cm bred, tør, hvælvet, orangebrun. Hathud overhængende. Kød specielt i stoktoppen hurtigt sortnende ved gennemskæing. Rørmundinger fra begyndelsen hvidlige, senere gråoliven. Stok 8 cm høj, 1-2 cm bred, tyndest lige under hatten. Stokskæl rødbrune. Benyttet litteratur: altlasnøglen til skælrørhattene.","Anne Storgaard","Anne Storgaard","https://svampe.databasen.org/observations/114510"
"DMS-116570","","2010-09-19T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Tinnet Krat","Denmark",55.90923,9.381308,100,"Jette Anitha Hansen","jord eller humus","egekrat","eg (Quercus)","","Stokbasis en anelse blå/grøn, det forvirrer mig.","Jette Anitha Hansen","Jette Anitha Hansen","https://svampe.databasen.org/observations/116570"
"DMS-156442","","2011-07-25T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Moesgård Strand","Denmark",56.08353,10.2469,75,"Flemming V. Larsen","jord eller humus","løvskov med naturskovspræg","","stod i kanten af et bredt opkørt MBT-spor. bøg (Fagus) [???]","kiggede meget grundigt efter : Der er kun bøg på stedet - Der er ca. 1 min, mellem hvert af de gennemskårne på billedet","Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/156442"
"DMS-158077","","2011-07-28T00:00:00.000Z","approved",61471,"Leccinum aurantiacum","Leccinum quercinum","rustrød skælrørhat",,"Græsted Hegn","Denmark",56.06849,12.26881,100,"Michael Sonniks","jord eller humus","løvskov","bøg (Fagus)","bøg (Fagus). Eneste anden træart var lærk, 18 m. fra voksestedet.","Stokskæl rødbrune til mørkebrune, sortnende kød ved gennemskæring (mærkelig rødfarvning i gnav?).  Udhængende hathud. Det kunne være rusrrød ege-rørhat, men området grundigt gennemsøgt forgæves for eg. Belæg haves.","Michael Sonniks","Jens H. Petersen","https://svampe.databasen.org/observations/158077"
