_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-4018,,2009-04-10T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,Rugård Sønderskov,Denmark,56.26024,10.81408,10,Jens H. Petersen,jord eller humus,løvskov,,,,Jens H. Petersen,Jens H. Petersen,https://svampe.databasen.org/observations/4018,1
DMS-5290,,2009-05-01T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,"Skærven, Løsning",Denmark,55.808806060814575,9.697357714176176,100,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,,,"5 ret forbavsende fine frugtlegemer, trods tørken.",Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/5290,1
DMS-5550,,2009-05-08T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,Lille Lyngby,Denmark,55.94858,12.13715,75,Jørgen Vingborg,jord eller humus,levende hegn,,,Kun 1 frl. 43 gram renset vægt,Jørgen Vingborg,Jørgen Vingborg,https://svampe.databasen.org/observations/5550,1
DMS-5682,,2009-05-09T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,"Skærven, Løsning",Denmark,55.80938,9.69818,75,Margaretha Liebmann,jord eller humus,løvskov med naturskovspræg,,[Associated organism: bævreasp (Populus) ],,Margaretha Liebmann,Margaretha Liebmann,https://svampe.databasen.org/observations/5682,1
DMS-5745,,2009-05-09T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,"Skærven, Løsning",Denmark,55.808757827692574,9.699657708406448,75,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,,[Associated organism: bævreasp (Populus)],,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/5745,1
DMS-92366,,2010-04-23T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,Tirsbæk Strand,Denmark,55.70978,9.6201,10,Margaretha Liebmann,jord eller humus,have,,kalkrig sandjord efter ryddet stykke med jordskokker,,Margaretha Liebmann,Margaretha Liebmann,https://svampe.databasen.org/observations/92366,1
DMS-92937,,2010-04-24T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,Vordingborg,Denmark,54.98333,11.9,150,Ebbe Kristensen,jord eller humus,have,,Solen er direkte på voksestedet fra 10 - 15 . Voksestedet består af 2-3 cm perlesten på fibertek med tilblæst jord fra omliggende bede . På stedet lå fra oktober til april grene fra mit nedsavede hyldetræ .,Fund data og billeder tilsendt mig til videre oplysning.,"Ebbe Kristensen, Kris",Ebbe Kristensen,https://svampe.databasen.org/observations/92937,1
DMS-93397,,2010-05-07T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,"Vestskoven, København",Denmark,55.70303,12.33962,75,Svend Aage Olsen,jord eller humus,pilemose/-krat,,[Associated organism: Tjørn og Abild.],,Svend Aage Olsen,Svend Aage Olsen,https://svampe.databasen.org/observations/93397,1
DMS-93722,,2010-05-03T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,Balskov Skov,Denmark,56.29986,10.37899,25,Rasmus Ejrnæs,jord eller humus,sumpskov,ask (Fraxinus),Klart fremspringende af sclerotiumlignende struktur med tilhæftning til rod (se foto),,Rasmus Ejrnæs,Rasmus Ejrnæs,https://svampe.databasen.org/observations/93722,1
DMS-93807,,2010-05-13T00:00:00.000Z,approved,17154,Morchella esculenta,,spiselig morkel,,Boserup Skov,Denmark,55.65612,12.03367,150,Bjørn W. Pedersen,jord eller humus,løvskov,,,"Jeg ved ikke, hvilke varieteter, vi fandt. Der er (måske) 3 at vælge imellem - se fotos. Belæg haves - Men I får dem IKKE ! ....  ;-)   Men jeg er helt klar over, at de 3 frl. til højre på det sidste billede er hætte-morkler.",Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/93807,1
