_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-58022,,2009-09-05T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Aggebo Hegn,Denmark,56.06638,12.24906,150,Michael Sonniks,"løv- eller nåledække, løse blade og nåle",blandskov (med løv- og nåletræer),,,,Michael Sonniks,Michael Sonniks,https://svampe.databasen.org/observations/58022,1
DMS-60905,,2009-09-12T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Paradisbakker,Denmark,55.09247,15.10371,25,Christian Lange,ved,blandskov (med løv- og nåletræer),fyr (Pinus),,,Christian Lange,Christian Lange,https://svampe.databasen.org/observations/60905,1
DMS-62600,,2009-09-20T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Store Hareskov,Denmark,55.76786,12.41908,5,Henrik Mathiassen,jord eller humus,blandskov (med løv- og nåletræer),gran (Picea),Under stor gran,Flot 30x25 cm stort friskt frugtlegeme lige brudt gennem jorden - og et velkomment tilskud til den magre spisesvampehøst på turen!,Henrik Mathiassen,Henrik Mathiassen,https://svampe.databasen.org/observations/62600,1
DMS-64928,,2009-09-27T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Skanderborg Dyrehave,Denmark,56.02686,9.90881,50,Jette Anitha Hansen,ved,blandskov (med løv- og nåletræer),gran (Picea),Næsten ved foden af granstub,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/64928,1
DMS-67072,,2009-09-25T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Fladså Banker,Denmark,55.19695,11.83205,25,Frede Scheye,ved,blandskov (med løv- og nåletræer),gran (Picea),,,Frede Scheye,Frede Scheye,https://svampe.databasen.org/observations/67072,1
DMS-71142,,2009-10-02T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Ålbæk Klitplantage,Denmark,57.58733,10.38243,100,Knud  Aage Filt,ved,nåleskov/plantage,,[Associated organism: granstub],Har tidligere fået godkendt flere fund af samme art i F&N.,Knud  Aage Filt,,https://svampe.databasen.org/observations/71142,1
DMS-75138,,2009-10-25T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Ålbæk Klitplantage,Denmark,57.58733,10.38243,150,Knud  Aage Filt,ved,nåleskov/plantage,,[Associated organism: granstub],,Knud  Aage Filt,Knud  Aage Filt,https://svampe.databasen.org/observations/75138,1
DMS-111383,,2010-09-06T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Tisvilde Hegn,Denmark,56.05529,12.05885,50,Margot Nielsen,jord eller humus,blandskov (med løv- og nåletræer),"birk (Betula), fyr (Pinus)","[Associated organism: fyr, birk, eg mv.]",,Margot Nielsen,Margot Nielsen,https://svampe.databasen.org/observations/111383,1
DMS-122916,,2010-10-01T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,"Strandkær, Mols",Denmark,56.22599,10.56499,75,Thorkild Steenberg,jord eller humus,løvskov med naturskovspræg,,,,Thorkild Steenberg,Thorkild Steenberg,https://svampe.databasen.org/observations/122916,1
DMS-132538,,2010-10-20T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Bromme Plantage,Denmark,55.47808,11.52938,75,Thomas Læssøe,ved,nåleskov/plantage,,,"stort, flot og frisk, ergo spiseligt frugtlegeme!",,,https://svampe.databasen.org/observations/132538,1
DMS-139478,,2010-09-28T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Avnstrup Skov,Denmark,55.55946,11.91681,10,Ole Sparre Pedersen,ved,blandskov (med løv- og nåletræer),fyr (Pinus),,,Ole Sparre Pedersen,Ole Sparre Pedersen,https://svampe.databasen.org/observations/139478,1
DMS-163227,SL11067,2011-08-18T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Hemmed Plantage,Denmark,56.50231,10.75214,100,Sten Larris,ved,nåleskov/plantage,gran (Picea),,"kun ét lille ex, 7½ cm bredt",Sten Larris,Sten Larris,https://svampe.databasen.org/observations/163227,1
DMS-166863,,2011-08-24T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Varde Søndre Plantage,Denmark,55.59978,8.52788,75,Charly Rise,jord eller humus,nåleskov/plantage,,,,Charly Rise,Charly Rise,https://svampe.databasen.org/observations/166863,1
DMS-168291,SL11086,2011-08-27T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Ørbækgård Plantage,Denmark,56.41926,10.66344,25,Sten Larris,ved,nåleskov/plantage,,Mosovergroet nåletræstub,"Lille ex, diameter 7½ cm",Sten Larris,Sten Larris,https://svampe.databasen.org/observations/168291,1
DMS-323748,,2011-09-04T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Hoverdal Plantage,Denmark,56.16835,8.45518,75,Benny Christensen,ved,nåleskov/plantage,gran (Picea),,Et meget stort eksemplar - sammenvokset af to frugtlegemer,Benny Christensen,,https://svampe.databasen.org/observations/323748,1
DMS-461978,,2012-09-13T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Timgård,Denmark,56.19572,8.28785,5,Eva og Fjord Josephsen,jord eller humus,nåleskov/plantage,gran (Picea),Er fundet 2 gange tidligere på samme lokation.,Vægt: 600g,Eva og Fjord Josephsen,Eva og Fjord Josephsen,https://svampe.databasen.org/observations/461978,1
DMS-464628,,2012-09-19T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Teglstrup Hegn,Denmark,56.04247,12.55579,75,Lisbeth Brendstrup,ved,blandskov (med løv- og nåletræer),gran (Picea),,,Lisbeth Brendstrup,,https://svampe.databasen.org/observations/464628,1
DMS-476687,,2012-10-07T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Stenvarpen,Denmark,55.18965,14.88066,25,Gitte Hekkel Olsen,bark,nåleskov/plantage,,,,Gitte Hekkel Olsen,Gitte Hekkel Olsen,https://svampe.databasen.org/observations/476687,1
DMS-488268,,2012-11-12T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,"Gribskov, Tumlingevang",Denmark,56.0217,12.34743,75,Jørgen Vingborg,ved,nåleskov/plantage,gran (Picea),På ret nedbrudt stub af gran. Lille frl. I kanten af fældet granskov,,Jørgen Vingborg,Jørgen Vingborg,https://svampe.databasen.org/observations/488268,1
DMS-490281,,2006-09-23T00:00:00.000Z,approved,20469,Sparassis crispa,,kruset blomkålssvamp,LC,Vilsbøl Plantage,Denmark,57.03489,8.565386,150,Jens Mårbjerg,ved,nåleskov/plantage,gran (Picea),,,Jens Mårbjerg,Jens Mårbjerg,https://svampe.databasen.org/observations/490281,1
