"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-9172567","","2016-09-06T00:00:00.000Z","expert approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Gribskov, Gantekrogsmose","Denmark",56.026413235865554,12.307917466398616,30,"Rasmus Riis-Hansen","jord eller humus","løvskov med naturskovspræg","bøg (Fagus)",,,"Rasmus Riis-Hansen","Rasmus Riis-Hansen","https://svampe.databasen.org/observations/9172567"
"DMS-9174000","","2016-09-18T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Moesgård Strandskov","Denmark",56.096597641983486,10.240714084357023,10,"Uffe Nygaard","jord eller humus","løvskov med naturskovspræg","",,"På indsamlingstur med Flemming V. Larsen mhp. at finde mange arter til Svampedagen 18/9 i Blommehaven. Svampene er alle bestemt og/eller valideret af FvL.  ","Uffe Nygaard, Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/9174000"
"DMS-9175796","","2016-09-25T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Færgemark","Denmark",54.869945738379464,11.736202418542234,10,"Frede Scheye","jord eller humus","blandskov (med løv- og nåletræer)","","",,"Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/9175796"
"DMS-9177254","","2016-10-04T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Fredskov ø. for Næstved","Denmark",55.22667955352989,11.83180296429782,10,"Frede Scheye","jord eller humus","blandskov (med løv- og nåletræer)","",,,"Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/9177254"
"DMS-9177792","","2015-09-12T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Rold Skov","Denmark",56.79053762856884,9.740581512451172,250,"Arne Pedersen","jord eller humus","løvskov med naturskovspræg","bøg (Fagus)",,"Fluesvamp,lidt gullighvid ring på stokken, let stribet.Lugter af rå kartoffel.Markant kugleknoldet afslutning på stokken.","Arne Pedersen","Arne Pedersen","https://svampe.databasen.org/observations/9177792"
"DMS-9177803","","2008-09-14T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Mosskov, Rold","Denmark",56.80679941977512,9.874262809753418,75,"Arne Pedersen","løv- eller nåledække, løse blade og nåle","løvskov med naturskovspræg","bøg (Fagus)",,"Fluesvamp med karakteristisk kugleformet knold,lidt gullig ring,let stribet og lugt af rå kartoffel.","Arne Pedersen","Arne Pedersen","https://svampe.databasen.org/observations/9177803"
"DMS-9178039","","2016-10-12T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Freerslev Hegn","Denmark",55.92004107791567,12.230644449591637,25,"Jesper Ruf Larsen","jord eller humus","nåleskov/plantage","rød-gran (Picea abies)",,"Fællessvøb som skæl på hat.
Gullig.
Ring på stok tydeligt furet ovenpå.
Hatrand glat.
Lugt jordagtig.
Kød uforanderligt ved skader.
Lameller hvide.","Jesper Ruf Larsen","Jesper Ruf Larsen","https://svampe.databasen.org/observations/9178039"
"DMS-9183232","","2016-11-23T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Fruens Plantage","Denmark",55.21413058722319,11.789066880810424,5,"Frede Scheye","jord eller humus","blandskov (med løv- og nåletræer)","",,,"Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/9183232"
"DMS-9202113","","2017-08-07T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Gribskov, Gadevang","Denmark",55.95794425655269,12.294453196227549,75,"Dan Ingemann Jensen","jord eller humus","løvskov","bøg (Fagus)",,,"Dan Ingemann Jensen","Dan Ingemann Jensen","https://svampe.databasen.org/observations/9202113"
"DMS-9205691","","2017-08-20T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Magleby Skov","Denmark",55.39948611,12.33375278,15,"Morten Christensen","jord eller humus","løvskov","bøg (Fagus sylvatica)",,,"Morten Christensen","Morten Christensen","https://svampe.databasen.org/observations/9205691"
"DMS-9206438","","2017-08-26T00:00:00.000Z","approved",65830,"Amanita citrina","","kugleknoldet fluesvamp","LC","Asserbo Plantage","Denmark",56.03522578369872,12.03347995877266,75,"Ole Martin","jord eller humus","nåleskov/plantage","",,,"Ole Martin","Ole Martin","https://svampe.databasen.org/observations/9206438"
