_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-10658,,2009-07-24T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Allerslev,Denmark,55.08098,12.03664,2,Leo de Jong,jord eller humus,park/kirkegård,lind (Tilia),,,Leo de Jong,Leo de Jong,https://svampe.databasen.org/observations/10658,1
DMS-11394,,2009-07-28T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Staksrode Skov,Denmark,55.6856,9.860331,150,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,,[Associated organism: Løvtræer],"Stok øverst fint net,kød blånende.",,Jette Anitha Hansen,https://svampe.databasen.org/observations/11394,1
DMS-49366,,2009-08-07T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,"Nørreskov, Als",Denmark,55.01359,9.91078,2,Thomas Læssøe,jord eller humus,løvskov,eg (Quercus),,"stort mycelie, sammen med Boletus ferrugineus, diverse skørhatte. ",Thomas Læssøe,Thomas Læssøe,https://svampe.databasen.org/observations/49366,1
DMS-49485,,2009-08-08T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Galsklint,Denmark,55.51735,9.68188,10,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,,I græs under Eg. [Associated organism: Eg og Bøg],Der var 7 frugtlegemer i en samlet gruppe.,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/49485,1
DMS-57522,,2009-09-04T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Staksrode Skov,Denmark,55.67657,9.85102,25,Jens Mårbjerg,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,,Jens Mårbjerg,Jens Mårbjerg,https://svampe.databasen.org/observations/57522,1
DMS-60569,,2009-09-13T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Elbæk Skov,Denmark,55.86155,9.93572,25,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/60569,1
DMS-63650,,2009-08-23T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Bagsværd Sø,Denmark,55.77165,12.44487,25,Henrik Mathiassen,jord eller humus,vejkant,bøg (Fagus),,,Henrik Mathiassen,Henrik Mathiassen,https://svampe.databasen.org/observations/63650,1
DMS-74495,,2009-08-26T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Furesø Park,Denmark,55.79811,12.43677,5,Jens Ockelmann,jord eller humus,vejkant,,Under bøgehæk + eg nærved,,Jens Ockelmann,Thomas Læssøe,https://svampe.databasen.org/observations/74495,1
DMS-103150,,2010-08-13T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,"Vestre Kirkegård, København",Denmark,55.65721,12.52927,10,Benny T. Olsen,jord eller humus,park/kirkegård,eg (Quercus),,,Benny T. Olsen,Benny T. Olsen,https://svampe.databasen.org/observations/103150,1
DMS-103594,,2010-08-15T00:00:00.000Z,approved,11091,Caloboletus radicans,,rod-rørhat,,Krenkerup Haveskov,Denmark,54.77542,11.66681,150,Frank Desting,jord eller humus,løvskov,bøg (Fagus),,,Frank Desting,Henrik Mathiassen,https://svampe.databasen.org/observations/103594,1
