_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-10428,,2009-07-22T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Hampen Sø,Denmark,56.02508,9.39732,10,Jette Anitha Hansen,jord eller humus,nåleskov/plantage,nåletræ (nåletræ),,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/10428,1
DMS-48360,,2009-07-31T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Odderholm,Denmark,56.04141,9.72711,75,Jens Mårbjerg,træflis og savsmuld,nåleskov/plantage,,,,Jens Mårbjerg,Jens Mårbjerg,https://svampe.databasen.org/observations/48360,1
DMS-52742,,2009-08-17T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Store Hareskov,Denmark,55.76747,12.41423,1000,Frank Desting,jord eller humus,nåleskov/plantage,,,1 modent frl. i granskov,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/52742,1
DMS-59903,,2009-09-10T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Bolderslev Skov,Denmark,55.0021,9.357007,100,Poul Olsen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),jordknolden på en rod af væltet bøg,http://www.fugleognatur.dk/forum/show_message.asp?MessageID=387185&ForumID=21,Poul Olsen,Poul Olsen,https://svampe.databasen.org/observations/59903,1
DMS-60329,,2009-09-08T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Jørgensgård Skov,Denmark,55.05206,9.448286,150,Poul Olsen,jord eller humus,løvskov,,,,Poul Olsen,,https://svampe.databasen.org/observations/60329,1
DMS-60799,,2009-09-15T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Store Hareskov,Denmark,55.76747,12.41423,1000,Frank Desting,jord eller humus,nåleskov/plantage,,,"3 små, modne frl. i granskov",Frank Desting,Frank Desting,https://svampe.databasen.org/observations/60799,1
DMS-73336,,2009-10-17T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Store Hareskov,Denmark,55.76747,12.41423,1000,Frank Desting,brandplet,nåleskov/plantage,,,"7 små, men modne frl. i nåleskov - tilsyneladende voksende på nåletræstub",Frank Desting,Frank Desting,https://svampe.databasen.org/observations/73336,1
DMS-77201,,2009-11-01T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Asserbo Plantage,Denmark,56.02436,12.01747,1000,Frank Desting,jord eller humus,nåleskov/plantage,,,alm. (i sandet fyrreskov),Frank Desting,Frank Desting,https://svampe.databasen.org/observations/77201,1
DMS-79327,,2009-11-03T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Brunbjerg,Denmark,55.17897,9.64136,75,Frank Abrahamsson,jord eller humus,overdrev,,,http://www.fugleognatur.dk/forum/show_message.asp?MessageID=407641&ForumID=21,Frank Abrahamsson,,https://svampe.databasen.org/observations/79327,1
DMS-80522,,2009-11-14T00:00:00.000Z,approved,14886,Hygrophoropsis aurantiaca,,almindelig orangekantarel,LC,Borup Skov,Denmark,55.53036,11.93828,25,Tom Smidth,ved,løvskov med naturskovspræg,,,på opskæringsplads,Tom Smidth,Tom Smidth,https://svampe.databasen.org/observations/80522,1
