_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-59187,,2009-09-09T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,"Gribskov, samlet",Denmark,56.01575,12.3385,100,Jørgen Vingborg,jord eller humus,løvskov,,Mellem vej og bøgeskov med højt græs,,Jørgen Vingborg,Jørgen Vingborg,https://svampe.databasen.org/observations/59187,1
DMS-62250,,2009-09-20T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,"Gribskov, Kagerup Station",Denmark,56.00623,12.26639,200,Margot Nielsen,jord eller humus,løvskov,,,Kegleformede mørke skæl på lys hathud. Stok med ring; stokken glat under ringen. Tydelig metallisk lugt.,Margot Nielsen,Bjørn Hirshals,https://svampe.databasen.org/observations/62250,1
DMS-71138,,2009-10-10T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Skanderborg Dyrehave,Denmark,56.02367,9.92297,75,Jette Anitha Hansen,jord eller humus,blandskov (med løv- og nåletræer),,"Parklignende område. [Associated organism: Blandet løv, mest Bøg]","Lugt metallisk,hat 6cm,stok 7cm.Er ikke helt sikker. Se foto.",Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/71138,1
DMS-111598,,2010-09-05T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Gærumhede Plantage,Denmark,57.41632,10.43487,10,Annegrete Eriksen,jord eller humus,blandskov (med løv- og nåletræer),,"Pil,Grøn-el .Bjergrørhvene og brændenælder",,Annegrete Eriksen,Annegrete Eriksen,https://svampe.databasen.org/observations/111598,1
DMS-111767,,2010-09-07T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Ravnsholt Skov,Denmark,55.85468,12.35852,150,Bjørn W. Pedersen,jord eller humus,løvskov,bøg (Fagus),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/111767,1
DMS-114815,,2010-09-15T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hejede Overdrev,Denmark,55.56147,11.90361,150,Bjørn W. Pedersen,jord eller humus,blandskov (med løv- og nåletræer),"bøg (Fagus), gran (Picea)","[Associated organism: bøg, gran]",,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/114815,1
DMS-115542,,2010-09-17T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Ballerup,Denmark,55.73606,12.35245,2,Bjørn W. Pedersen,jord eller humus,have,,"syrisk rose, æble, benved, hasselurt",Metallisk lugt. Desværre plukket i alt for ung tilstand (?). Og så er den måske også lidt for kraftig (?) Håber på flere frl. Belæg følger,Bjørn W. Pedersen,Jacob Heilmann-Clausen,https://svampe.databasen.org/observations/115542,1
DMS-118766,,2010-09-23T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Ravnsholte,Denmark,55.55561,11.88532,25,Tom Smidth,jord eller humus,løvskov,bøg (Fagus),,nøglet via nøglen i Atlas ,Tom Smidth,Tom Smidth,https://svampe.databasen.org/observations/118766,1
DMS-119234,,2010-09-25T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Balskov Skov,Denmark,56.30384,10.37485,25,Rasmus Ejrnæs,jord eller humus,vejkant,,,"Hat 65 mm, skæl ca. 1 mm. Lameller ekstremt tætte, ikke gaffeldelte, lyst rosabrune/træbrune. Stok læderbrun. Ring hængende hvidlig, med skæl/gryn på randen. Lugt kraftig gummiagtig.",Rasmus Ejrnæs,Jacob Heilmann-Clausen,https://svampe.databasen.org/observations/119234,1
DMS-119854,,2010-09-27T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hejede Overdrev,Denmark,55.56325,11.89888,150,Bjørn W. Pedersen,jord eller humus,løvskov,bøg (Fagus),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/119854,1
DMS-120065,,2010-09-24T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hedensted,Denmark,55.77394,9.71726,25,Jette Anitha Hansen,jord eller humus,levende hegn,,I træflis på fed muld. [Associated organism: Løv ],,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/120065,1
DMS-123024,,2010-10-02T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Lellinge Skovhusvænge,Denmark,55.4683,12.07664,75,Gerner Lundby Jensen,jord eller humus,løvskov,,på næsten bar jord under unge løvtræer i udkanten af skoven,,Gerner Lundby Jensen,Margaretha Liebmann,https://svampe.databasen.org/observations/123024,1
DMS-124517,,2010-10-05T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hedensted,Denmark,55.7764,9.70539,50,Jette Anitha Hansen,jord eller humus,pilemose/-krat,pil (Salix),,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/124517,1
DMS-124553,,2010-10-02T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Virket Lyng,Denmark,54.83737,11.95231,25,Martin Vestergaard,jord eller humus,skovmose,,på kanten af en drængrøft,,Martin Vestergaard,Martin Vestergaard,https://svampe.databasen.org/observations/124553,1
DMS-372690,,2011-09-11T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,"Gribskov, Hvidekilde",Denmark,56.00472,12.28529,75,Lisbeth Brendstrup,jord eller humus,blandskov (med løv- og nåletræer),,,,Lisbeth Brendstrup,Lisbeth Brendstrup,https://svampe.databasen.org/observations/372690,1
DMS-388783,,2011-09-24T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hejede Overdrev,Denmark,55.56451,11.89652,150,Bjørn W. Pedersen,"løv- eller nåledække, løse blade og nåle",løvskov,bøg (Fagus),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/388783,1
DMS-394113,,2011-10-02T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Ballerup,Denmark,55.73609,12.35244,2,Bjørn W. Pedersen,jord eller humus,have,,"syrisk rose, benved, hasselurt",,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/394113,1
DMS-394290,,2011-10-03T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,"Hjørring Kommunes Klitplantage, Rubjerg Knude",Denmark,57.44246,9.77697,75,Kresten Hansen,"løv- eller nåledække, løse blade og nåle",blandskov (med løv- og nåletræer),,Kalk i jorden,,Kresten Hansen,Kresten Hansen,https://svampe.databasen.org/observations/394290,1
DMS-419115,,2011-10-07T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hårby,Denmark,55.21004,10.12215,25,Kirsten Munch Pontoppidan,jord eller humus,græsplæne,,"grønt område. I nærheden birk, lidt længere væk andre træer såsom bøg og eg.","Lugt sødligt/melagtigt meget behageligt. Smag mild, både hathud og kød. Hat mørktskællet, gulbrun,opsprækkende,130 mm, stok glat fibret, hvidlig 35x110 mm.Lameller hvide meget tætte. Kød hvidt/gulligt. Anløber ikke.Kun et frl, der var lidt gammelt og brunfarvet hist og her i det hvide.",Kirsten Munch Pontoppidan,Jacob Heilmann-Clausen,https://svampe.databasen.org/observations/419115,1
DMS-424971,,2011-09-19T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Stengade Skov,Denmark,54.96796,10.85323,100,Hanne Farnæs,jord eller humus,blandskov (med løv- og nåletræer),,,,"Hanne Farnæs, Thomas Kehlet",Hanne Farnæs,https://svampe.databasen.org/observations/424971,1
DMS-474139,,2012-10-02T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hydeskov,Denmark,54.77178,11.70362,75,Flemming Ryden,jord eller humus,løvskov,,"tredje år i træk med pigget,kun 2 frl.",,Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/474139,1
DMS-474293,,2012-10-03T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Merkær Skov,Denmark,55.97426,10.08136,100,Peter Lausted,jord eller humus,nåleskov/plantage,gran (Picea),i vejkant,,Peter Lausted,Peter Lausted,https://svampe.databasen.org/observations/474293,1
DMS-474590,,2012-10-03T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Rådmandshaven,Denmark,55.23984,11.75264,150,Ebbe Kristensen,jord eller humus,løvskov med naturskovspræg,,,"Ingen ring set, kun lidt hudagtigt vedhæng!","Ebbe Kristensen, Kris",Ebbe Kristensen,https://svampe.databasen.org/observations/474590,1
DMS-486778,,2012-10-26T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Arresødal Skov,Denmark,55.97274,12.04273,100,Louise Widenborg,jord eller humus,blandskov (med løv- og nåletræer),,,,Louise Widenborg,Louise Widenborg,https://svampe.databasen.org/observations/486778,1
DMS-627558,,2013-09-08T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Store Hareskov,Denmark,55.77119,12.40661,50,Tom Smidth,jord eller humus,blandskov (med løv- og nåletræer),bøg (Fagus),,,Tom Smidth,Tom Smidth,https://svampe.databasen.org/observations/627558,1
DMS-628571,,2013-09-13T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Ballerup,Denmark,55.73606,12.35237,2,Bjørn W. Pedersen,jord eller humus,have,,[Associated organism: græs],,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/628571,1
DMS-628579,,2013-09-13T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Kroglyng,Denmark,55.30451,11.811,25,Thomas Kehlet,jord eller humus,løvskov,,,,Thomas Kehlet,Thomas Kehlet,https://svampe.databasen.org/observations/628579,1
DMS-631111,,2013-09-20T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Buderupholm Bjergeskov,Denmark,56.85438,9.86217,10,Lisbeth Brendstrup,jord eller humus,løvskov med naturskovspræg,,,,Lisbeth Brendstrup,Lisbeth Brendstrup,https://svampe.databasen.org/observations/631111,1
DMS-637347,,2013-09-23T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Tranekær,Denmark,54.99929,10.84966,25,Thomas Kehlet,jord eller humus,vejkant,,,,Thomas Kehlet,Thomas Kehlet,https://svampe.databasen.org/observations/637347,1
DMS-640791,,2013-09-26T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Trørød,Denmark,55.84673,12.52839,5,Henrik Mathiassen,træflis og savsmuld,have,,På nåletræ-flis,"Hat 8-12 cm ø, m løstsiddende kegleformede kakaobrune skæl, lameller hvide og meget tætte, stok m ring og udviddet basis!",Henrik Mathiassen,Henrik Mathiassen,https://svampe.databasen.org/observations/640791,1
DMS-641190,,2013-10-07T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Tudsdam,Denmark,55.89302,10.05486,75,Peter Lausted,jord eller humus,vejkant,,op mod krat o.a.,"bestemt på mandagsaften, Århus. ( findes også med pigge )",Peter Lausted,Peter Lausted,https://svampe.databasen.org/observations/641190,1
DMS-642243,,2013-10-10T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Engelstofte Skov,Denmark,55.36724,11.66401,25,Martin Vestergaard,jord eller humus,løvskov,bøg (Fagus),,,Martin Vestergaard,Martin Vestergaard,https://svampe.databasen.org/observations/642243,1
DMS-646847,,2013-10-22T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hydeskov,Denmark,54.77574,11.70902,100,Flemming Ryden,jord eller humus,løvskov,,enkelt stort frl.,"hat 9 cm.,stok 11 cm.,udvidet ved basis,ring regnet væk, størrelsen og trekantede skæl ,metallisk lugt...er karakterene",Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/646847,1
