_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-10843,,2009-07-26T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Slåensø,Denmark,56.12357,9.62698,25,Lise Samsø,jord eller humus,blandskov (med løv- og nåletræer),nåletræ (nåletræ),skrænt under nål,,Lise Samsø,Lise Samsø,https://svampe.databasen.org/observations/10843,1
DMS-49486,,2009-08-08T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Galsklint,Denmark,55.51734,9.68221,10,Jette Anitha Hansen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,"Anløber lyseblå ved overskæring, fint gult netmønster øverst på stokken.",Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/49486,1
DMS-49526,,2009-08-09T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Fredskov,Denmark,55.02507,12.3952,75,Leo de Jong,jord eller humus,løvskov,bøg (Fagus),,,Leo de Jong,Leo de Jong,https://svampe.databasen.org/observations/49526,1
DMS-51507,,2009-08-09T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Sønderskov,Denmark,56.25771,9.92814,5,Michael Filtenborg,jord eller humus,løvskov,bøg (Fagus),,,Michael Filtenborg,Michael Filtenborg,https://svampe.databasen.org/observations/51507,1
DMS-54770,,2009-08-26T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Danstrup Hegn,Denmark,55.99713,12.45118,50,Bjørn W. Pedersen,jord eller humus,løvskov,bøg (Fagus),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/54770,1
DMS-61856,,2009-09-18T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Dronninglund Storskov,Denmark,57.19955,10.30346,50,Niels Erik Skjøth,jord eller humus,blandskov (med løv- og nåletræer),,I sandet skrænt,,Niels Erik Skjøth,Niels Erik Skjøth,https://svampe.databasen.org/observations/61856,1
DMS-65294,,2006-08-20T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Varde Søndre Plantage,Denmark,55.59377,8.521099,150,Kirsten Munch Pontoppidan,jord eller humus,blandskov (med løv- og nåletræer),,,Er ikke sikker på bestemmelsen. Vedlægger billede. Havde bitter smag,Kirsten Munch Pontoppidan,Kirsten Munch Pontoppidan,https://svampe.databasen.org/observations/65294,1
DMS-72513,,2009-10-14T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Dover Plantage,Denmark,56.70667,8.43922,50,Niels Erik Skjøth,jord eller humus,hede,,Mellem lyngbuskene,"De nærmeste træer står langt udenfor gravhøjen, mens der er lyngbuske overalt på selve gravhøjen.",Niels Erik Skjøth,Niels Erik Skjøth,https://svampe.databasen.org/observations/72513,1
DMS-97614,,2010-06-24T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,"Gribskov, samlet",Denmark,56.0076,12.28748,50,Bjørn W. Pedersen,jord eller humus,løvskov,bøg (Fagus),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/97614,1
DMS-103106,,2010-08-13T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Torstedlund Skov,Denmark,56.79627823524031,9.773958921432495,10,Erik Arnfred Thomsen,jord eller humus,løvskov med naturskovspræg,bøg (Fagus),,"Gule porer, et groft men fuldstændigt net for oven på stokken. Samt rødt bredt bånd øverst på stokken. Blånede hurtig ved gennemskæring - men ikke ved tryk udenpå. Rod-rørhat ?",Erik Arnfred Thomsen,Thomas Læssøe,https://svampe.databasen.org/observations/103106,1
DMS-106986,,2010-08-24T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,Køge Ås,Denmark,55.46202,12.14212,100,Gerner Lundby Jensen,jord eller humus,løvskov,bøg (Fagus),"Ved foden af sydvendt skrænt. Stort set ingen vegetation, men længere oppe ad skrænten vokser bøgetræer.",,Gerner Lundby Jensen,,https://svampe.databasen.org/observations/106986,1
DMS-107004,,2010-08-26T00:00:00.000Z,approved,11068,Caloboletus calopus,,skønfodet rørhat,,"Gribskov, Stenholts Indelukke",Denmark,55.96145,12.33284,75,Dan Ingemann Jensen,jord eller humus,løvskov,,,,Dan Ingemann Jensen,Dan Ingemann Jensen,https://svampe.databasen.org/observations/107004,1
