"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-557201","BP82-125","1982-09-02T00:00:00.000Z","approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Moesgård Skov, Giber Å","Denmark",56.08688,10.23719,250,"Jens H. Petersen","","løvskov","","On deciduous forest, Fagus og Quercus","TBU: 21. farveblyantstegning","Jens H. Petersen","Thomas Brandt","https://svampe.databasen.org/observations/557201"
"DMS-721395","","2015-10-03T00:00:00.000Z","approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Aldershvile Slotspark","Denmark",55.77015,12.45442,50,"Tobias Bøllingtoft","jord eller humus","park/kirkegård","","I græsplæne under gammel eg, bøg ca. 5 meter væk.","En meget kraftig rødblad stok ca. 2,5 cm tyk på den største. Eksemplar til venstre stok 2,3 cm i diameter hatdiameter 8,0 cm, det andet eksemplar lidt større. Hattene grålige og silkeglinsende lamellerne på de yngre gullige som ca. cremegul (22) en anelse mere laksefarvede (26) på den ældste, men stadig med gulligt skær. Lugten er stærk, melagtig med lidt agurkeagtige noter. Foto og belæg. Arten er ikke kendt fra parken. Belæg og foto. ","Tobias Bøllingtoft","Tobias Bøllingtoft","https://svampe.databasen.org/observations/721395"
"DMS-9168663","","2016-07-24T00:00:00.000Z","expert approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Egeskov","Denmark",54.68608150079109,11.527665924659232,10,"Flemming Ryden","jord eller humus","løvskov","","tør lerjord med eg og bøg,to små grupper,ret små frl.","fundet dér før i 2013 og 14.tør hat,opsprækkende i randen(tørt vejr)gullige lameller,rødt sporekast,mellugt.Den smager jeg ikke på mere.","Flemming Ryden","Flemming Ryden","https://svampe.databasen.org/observations/9168663"
"DMS-9174306","","2016-09-19T00:00:00.000Z","expert approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Marselisborg Dyrehave","Denmark",56.12134151607889,10.221028346568346,10,"Flemming V. Larsen","jord eller humus","græsningsskov/dyrehave","stilk-eg (Quercus robur)",,"Kommer her hvert år sammen med grøngul ridderhat","Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/9174306"
"DMS-9175922","","2016-09-26T00:00:00.000Z","expert approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Egeskov","Denmark",54.685806906833015,11.527508553128248,10,"Tobias Frøslev","jord eller humus","løvskov","",,,"Tobias Frøslev, Martin Vestergaard","Tobias Frøslev","https://svampe.databasen.org/observations/9175922"
"DMS-9176567","","2016-09-27T00:00:00.000Z","expert approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Vemmetofte Strandskov","Denmark",55.23636,12.24016,2500,"Tobias Bøllingtoft","jord eller humus","løvskov","bøg (Fagus sylvatica), eg (Quercus)",,,"Tobias Bøllingtoft","Tobias Bøllingtoft","https://svampe.databasen.org/observations/9176567"
"DMS-9203799","","2017-08-17T00:00:00.000Z","approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Aldershvile Slotspark","Denmark",55.77018235307752,12.454100539907813,5,"Tobias Bøllingtoft","jord eller humus","park/kirkegård","bøg (Fagus sylvatica), eg (Quercus)","Under gammel fritstående eg i plæne, på leret plet. Eneste sted i parken med præcis disse forhold. ","Foto kommer. Ét frugtlegeme. Kendt forekomst. I dag eneste kendte nordsjællandske forekomst for denne art, nærmeste er vel Vemmetofte. Samme plet som S. cepa samt mystisk Octaviania. Belæg.","Tobias Bøllingtoft","Tobias Bøllingtoft","https://svampe.databasen.org/observations/9203799"
"DMS-9210747","","2017-09-11T00:00:00.000Z","approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Egeskov","Denmark",54.68464884431734,11.520727153401822,75,"Flemming Ryden","jord eller humus","løvskov","bøg (Fagus)","tre ret små frl.på kant af stor grøft","mellugt og rødt sporekast,gule lameller der er ved at blive laksefarvede i kant ved hatrand","Flemming Ryden","Flemming Ryden","https://svampe.databasen.org/observations/9210747"
"DMS-9223778","","2017-10-06T00:00:00.000Z","approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Elbæk Skov","Denmark",55.86192264684981,9.936399937723763,75,"Jens Mårbjerg","jord eller humus","løvskov med naturskovspræg","bøg (Fagus)",,,"Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/9223778"
"DMS-9244004","","2008-09-01T00:00:00.000Z","approved",13595,"Entoloma sinuatum","","giftig rødblad","VU","Moesgård,  Skovmøllen","Denmark",56.092005959423695,10.233938321471214,75,"Jens Chr. Schou","jord eller humus","løvskov","",,,"Jens Chr. Schou","Jens Chr. Schou","https://svampe.databasen.org/observations/9244004"
