_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-59647,,2009-09-10T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Hedensted,Denmark,55.77632,9.70443,25,Jette Anitha Hansen,jord eller humus,løvskov,birk (Betula),,,Jette Anitha Hansen,Jan Vesterholt,https://svampe.databasen.org/observations/59647,1
DMS-61885,,2009-09-19T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Smørmosen,Denmark,55.75147,12.44237,1000,Frank Desting,jord eller humus,mose,,,15 modne frl. i græs under birk i Smørmosen (smag: skarp!),Frank Desting,Frank Desting,https://svampe.databasen.org/observations/61885,1
DMS-64451,,2009-09-26T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Skanderborg Dyrehave,Denmark,56.0232,9.92342,25,Jens Chr. Schou,jord eller humus,græsningsskov/dyrehave,,,,Jens Chr. Schou,Jens Chr. Schou,https://svampe.databasen.org/observations/64451,1
DMS-66536,,2009-10-01T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Hillerød By,Denmark,55.92533,12.29119,25,Troels Ingemann,jord eller humus,græsplæne,,,I græsplæne ved virksomheden Voss Electric,Troels Ingemann,,https://svampe.databasen.org/observations/66536,1
DMS-111695,,2010-09-07T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Hedensted,Denmark,55.77703,9.70309,25,Jette Anitha Hansen,jord eller humus,"industriel habitat (råstofgrav, savværk mv.)",birk (Betula),,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/111695,1
DMS-112404,,2010-09-09T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Sundby Kirkegård,Denmark,55.65754,12.61891,75,Grith Styrck Carlsen,jord eller humus,park/kirkegård,birk (Betula),,hat creme uden ringzoner,Grith Styrck Carlsen,Grith Styrck Carlsen,https://svampe.databasen.org/observations/112404,1
DMS-113464,,2010-09-09T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Risskov By,Denmark,56.20661,10.22781,5,Kirsten Nielsen,jord eller humus,græsplæne,,[Associated organism: Pil / Birk],,Kirsten Nielsen,Kirsten Nielsen,https://svampe.databasen.org/observations/113464,1
DMS-118189,,2010-09-23T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Smørmosen,Denmark,55.7503,12.43961,75,Frank Desting,jord eller humus,mose,,,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/118189,1
DMS-121967,,2010-09-30T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Espelund,Denmark,55.1101,11.8848,75,Martin Vestergaard,"løv- eller nåledække, løse blade og nåle",nåleskov/plantage,birk (Betula),,,Martin Vestergaard,Martin Vestergaard,https://svampe.databasen.org/observations/121967,1
DMS-124210,,2010-10-05T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Hedensted,Denmark,55.7766,9.70543,50,Jette Anitha Hansen,jord eller humus,pilemose/-krat,birk (Betula),,,Jette Anitha Hansen,Jette Anitha Hansen,https://svampe.databasen.org/observations/124210,1
DMS-322672,,2011-09-02T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Garnisons Kirkegård,Denmark,55.69544,12.58335,150,Grith Styrck Carlsen,jord eller humus,park/kirkegård,birk (Betula),i græs under birk,,Grith Styrck Carlsen,Grith Styrck Carlsen,https://svampe.databasen.org/observations/322672,1
DMS-389309,,2011-09-17T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Strandmarken,Denmark,54.995342,15.052213,150,Michael Sonniks,jord eller humus,blandskov (med løv- og nåletræer),,,,Michael Sonniks,Michael Sonniks,https://svampe.databasen.org/observations/389309,1
DMS-393014,,2011-09-29T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,"Tisvilde Hegn, Stængehus",Denmark,56.03422,12.02703,500,Bjørn W. Pedersen,jord eller humus,løvskov,birk (Betula),,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/393014,1
DMS-463815,,2012-09-17T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,"Rønnerne, Frederikshavn",Denmark,57.47606,10.52148,10,Annegrete Eriksen,jord eller humus,strandeng,birk (Betula),,"Litt.:Svamperiget,Mælkehatte-bind 2.",Annegrete Eriksen,Jacob Heilmann-Clausen,https://svampe.databasen.org/observations/463815,1
DMS-464398,,2012-09-19T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,"Store Dyrehave, Lille Sverige",Denmark,55.90208,12.34544,25,Bjørn W. Pedersen,jord eller humus,anden naturtype,birk (Betula),P-pladsen ved Rågårdshus,,Bjørn W. Pedersen,Bjørn W. Pedersen,https://svampe.databasen.org/observations/464398,1
DMS-472775,,2012-10-01T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Grevensvænge,Denmark,55.2,11.81666,150,Thomas Kehlet,jord eller humus,blandskov (med løv- og nåletræer),birk (Betula),,,Thomas Kehlet,Thomas Kehlet,https://svampe.databasen.org/observations/472775,1
DMS-476020,,2012-10-06T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Amagerbro,Denmark,55.67875,12.61866,75,Grith Styrck Carlsen,jord eller humus,græsplæne,"birk (Betula), poppel (Populus)","[Associated organism: birk (Betula), poppel (Populus)]",,Grith Styrck Carlsen,Grith Styrck Carlsen,https://svampe.databasen.org/observations/476020,1
DMS-477246,,2012-10-06T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Nykøbing Falster,Denmark,54.77064,11.86944,75,Flemming Ryden,,park/kirkegård,birk (Betula),,"de vokser sammen med falmende skørhat,er lagt ind tidligere,de voksede også sammen der sidste år",Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/477246,1
DMS-481826,,2012-10-13T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Køge Ås,Denmark,55.46795,12.14473,150,Gerner Lundby Jensen,jord eller humus,blandskov (med løv- og nåletræer),,,,Gerner Lundby Jensen,Ebbe Kristensen,https://svampe.databasen.org/observations/481826,1
DMS-626770,,2013-09-06T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Ravnsholt Skov,Denmark,55.84848,12.35553,0,Bjørn W. Pedersen,jord eller humus,nåleskov/plantage,,birk (Betula) eller gran (Picea),Mælkehat. Skarp. Dunet? eller måske mere eksotisk?  ;-)  Belæg?,Bjørn W. Pedersen,Jens H. Petersen,https://svampe.databasen.org/observations/626770,1
DMS-627005,,2013-09-07T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Holmegaards Mose,Denmark,55.28536,11.83966,100,Thomas Kehlet,jord eller humus,løvskov,birk (Betula),I vejkant.,,Thomas Kehlet,Thomas Kehlet,https://svampe.databasen.org/observations/627005,1
DMS-627829,,2013-09-10T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,"Skidendam, Teglstrup Hegn (Hellebæk Kohave)",Denmark,56.04785,12.55182,75,Ole Sparre Pedersen,jord eller humus,blandskov (med løv- og nåletræer),,Birk i nærheden,,Ole Sparre Pedersen,Ole Sparre Pedersen,https://svampe.databasen.org/observations/627829,1
DMS-641267,,2013-10-08T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Tokkerup (Lolland),Denmark,54.70876,11.71846,75,Flemming Ryden,jord eller humus,mose,birk (Betula),"den var overalt,så økologi forskellig","Belæg. Den fyldte meget i den ret udtørrede mose, det er nok forklaringen på mængden,de tørre betingelser. Syrlig lugt,smag skarp.",Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/641267,1
DMS-642142,,2013-10-10T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,"Feddet, Præstø",Denmark,55.15944,12.10609,100,Thomas Kehlet,jord eller humus,blandskov (med løv- og nåletræer),birk (Betula),,,Thomas Kehlet,Thomas Kehlet,https://svampe.databasen.org/observations/642142,1
DMS-642538,,2013-10-06T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Blistrup,Denmark,56.08703,12.21663,25,Michael Sonniks,jord eller humus,græsplæne,birk (Betula),,,Michael Sonniks,Michael Sonniks,https://svampe.databasen.org/observations/642538,1
DMS-644935,,2013-10-17T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Øster Aslund,Denmark,57.09355,10.16381,75,Susanne Rabenborg,jord eller humus,"industriel habitat (råstofgrav, savværk mv.)",birk (Betula),På plateau over grusgrav,,Susanne Rabenborg,Susanne Rabenborg,https://svampe.databasen.org/observations/644935,1
DMS-646386,,2013-10-19T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Bøgeskov ved Maribo Søndersø,Denmark,54.74162,11.58302,100,Flemming Ryden,jord eller humus,løvskov med naturskovspræg,,der voksede også aspetræer,"belæg tørrer.skarp smag,sparsom hvid mælk,der tørrede gult op.",Flemming Ryden,Jacob Heilmann-Clausen,https://svampe.databasen.org/observations/646386,1
DMS-676149,,2014-09-02T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Boesdal,Denmark,55.25826,12.4001,2500,Thomas Kehlet,jord eller humus,"industriel habitat (råstofgrav, savværk mv.)",birk (Betula),,,Thomas Kehlet,Thomas Kehlet,https://svampe.databasen.org/observations/676149,1
DMS-676905,,2014-09-05T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Smørmosen,Denmark,55.74972,12.43946,50,Frank Desting,jord eller humus,mose,,3 modne frl. i græs,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/676905,1
DMS-692530,,2014-10-26T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Kettinge,Denmark,54.69775,11.73151,2500,Flemming Ryden,jord eller humus,anden naturtype,birk (Betula),friske og gamle frl.,,Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/692530,1
DMS-715672,,2015-09-11T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Kettinge,Denmark,54.69894,11.73241,50,Flemming Ryden,jord eller humus,park/kirkegård,birk (Betula), mycelie med friske frl.,"skarp smag,men det er en god svamp til nedsaltning,har prøvet det tidligere.",Flemming Ryden,Flemming Ryden,https://svampe.databasen.org/observations/715672,1
DMS-716257,,2015-09-17T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Nybroskov,Denmark,55.77179,12.47489,2500,Tobias Bøllingtoft,jord eller humus,græsplæne,birk (Betula),i græsplæne.,,Tobias Bøllingtoft,Tobias Bøllingtoft,https://svampe.databasen.org/observations/716257,1
DMS-730636,,2015-12-11T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Smørmosen,Denmark,55.74955,12.4395,25,Frank Desting,jord eller humus,mose,birk (Betula),1 mycelium med overmodne frl. under birk,,Frank Desting,Frank Desting,https://svampe.databasen.org/observations/730636,1
DMS-9171208,,2016-08-25T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Aldershvile Slotspark,Denmark,55.76931026883439,12.451579766348004,5,Tobias Bøllingtoft,jord eller humus,park/kirkegård,birk (Betula),Under enlig stor birk i plæne inden i Slotsruinen. ,,Tobias Bøllingtoft,Tobias Bøllingtoft,https://svampe.databasen.org/observations/9171208,1
DMS-9176625,,2016-09-26T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Nærum,Denmark,55.82357765616427,12.54399070130603,5,Ole B. Lyshede,jord eller humus,have,birk (Betula),,,Ole B. Lyshede,Ole B. Lyshede,https://svampe.databasen.org/observations/9176625,1
DMS-9176955,,2016-09-30T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Kalvebod Fælled,Denmark,55.59307326861646,12.544392496347427,10,Mikkel Toft Hornum,jord eller humus,græsningsskov/dyrehave,birk (Betula),,"Hat glat i midten og med hår i tiltagende mængde mod randen, hvor længden var ca. 1/2 cm. Farven creme til blegt okkergul med et laksefarvet skær især tæt på randen. Ingen koncentriske zoner. Mælk hvid og uforanderlig. Lameller cremegule. Lugt syrlig og frugtig (schweppes lemon?). Smag meget skarp efter få sekunder. Sp. 6-7x4,5-5,5 my med ornamentering af pigge (ca. 0,5 my) i et nogenlunde sammenhængende net (se mikrobillede). Bestemt med 'Heilmann-Clausen, Verbeken & Vesterholt; 'The genus Lactarius' - Fungi og Northern Europe - vol.2'.","Mikkel Toft Hornum, Martin Schier Christiansen",Mikkel Toft Hornum,https://svampe.databasen.org/observations/9176955,1
DMS-9176964,,2016-10-03T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Vandet Klitplantage,Denmark,56.99439,8.572031,2500,Thomas Læssøe,jord eller humus,eng,birk (Betula),,,Thomas Læssøe,Thomas Læssøe,https://svampe.databasen.org/observations/9176964,1
DMS-9177859,,2016-10-09T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Bispebjerg Kirkegård,Denmark,55.71443,12.52643,2500,Dennis Pedersen,jord eller humus,park/kirkegård,dun-birk (Betula pubescens),Voksede i lang række.,"Hat overvejende hvidlig, særdeles dunet, især i hatranden. Mælkesaft hvid og uforanderlig. Stok > 11 mm.",Dennis Pedersen,Dennis Pedersen,https://svampe.databasen.org/observations/9177859,1
DMS-9178251,,2016-10-14T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Rosilde,Denmark,55.30887043403275,10.732727698059534,5,Thomas Stjernegaard Jeppesen,jord eller humus,vejkant,birk (Betula),,,Thomas Stjernegaard Jeppesen,Thomas Stjernegaard Jeppesen,https://svampe.databasen.org/observations/9178251,1
DMS-9179059,,2016-10-18T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Brobæk  Mose (Insulinmosen),Denmark,55.75263431805921,12.532811053097246,25,Patrick Steinlein,jord eller humus,løvskov med naturskovspræg,,,"Er lidt i tvivl om det kan være en tørve-mælkehat da den er fundet på meget fugtig bund, men stokken er >10 mm bred og er derfor, ifl. PDF-nøglen, en dunet-mælkehat.",Patrick Steinlein,Patrick Steinlein,https://svampe.databasen.org/observations/9179059,1
DMS-9180120,,2016-10-25T00:00:00.000Z,approved,15900,Lactarius pubescens,,dunet mælkehat,LC,Sundby Kirkegård,Denmark,55.656998782897695,12.615876495401608,10,Grith Styrck Carlsen,jord eller humus,park/kirkegård,birk (Betula),,,Grith Styrck Carlsen,Grith Styrck Carlsen,https://svampe.databasen.org/observations/9180120,1
