"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-49867","","2009-08-09T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tisvilde Hegn","Denmark",56.03711,12.06208,100,"Jørgen Vingborg","jord eller humus","nåleskov/plantage","","","Flere forekomster med 2-3 frl. i gruppe","","Jørgen Vingborg","https://svampe.databasen.org/observations/49867"
"DMS-55537","","2009-08-29T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Studerum","Denmark",55.24131,12.01008,25,"Leo de Jong","jord eller humus","løvskov","bøg (Fagus)","","","Leo de Jong","Leo de Jong","https://svampe.databasen.org/observations/55537"
"DMS-56179","","2009-08-30T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Læsø Klitplantage","Denmark",57.29978,11.03551,75,"Niels Erik Skjøth","jord eller humus","blandskov (med løv- og nåletræer)","","","","Niels Erik Skjøth","Niels Erik Skjøth","https://svampe.databasen.org/observations/56179"
"DMS-63645","","2009-08-23T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tisvilde Hegn, Asserbo slotsruin","Denmark",56.02786,12.05243,50,"Henrik Mathiassen","jord eller humus","blandskov (med løv- og nåletræer)","birk (Betula)","","","Henrik Mathiassen","Henrik Mathiassen","https://svampe.databasen.org/observations/63645"
"DMS-104188","","2010-08-17T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Rye Nørreskov","Denmark",56.09014,9.74333,100,"Jens Mårbjerg","jord eller humus","nåleskov/plantage","gran (Picea)","","","Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/104188"
"DMS-110596","","2010-09-04T00:00:00.000Z","Rejected",10273,"Amanita virosa","","snehvid fluesvamp","LC","Hillerød","Denmark",55.94973,12.28692,75,"Dan Ingemann Jensen","jord eller humus","løvskov","","","","Dan Ingemann Jensen","Dan Ingemann Jensen","https://svampe.databasen.org/observations/110596"
"DMS-110843","","2010-09-04T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Gantekrogsmose","Denmark",56.03182,12.31443,250,"Bjørn W. Pedersen","jord eller humus","løvskov","bøg (Fagus)","","Rigtigt mange - på flere mycelier","Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/110843"
"DMS-113757","","2010-09-01T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Silkeborg Nordskov","Denmark",56.14999,9.6084,50,"Niels V. Mogensen","jord eller humus","blandskov (med løv- og nåletræer)","","","","Niels V. Mogensen","Niels V. Mogensen","https://svampe.databasen.org/observations/113757"
"DMS-116938","","2010-09-20T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Almindingen","Denmark",55.10253,14.97454,75,"Fredd Wendelbo Jensen","løv- eller nåledække, løse blade og nåle","nåleskov/plantage","","","","Fredd Wendelbo Jensen","Fredd Wendelbo Jensen","https://svampe.databasen.org/observations/116938"
"DMS-122635","","2010-09-23T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Vestskoven, København","Denmark",55.70173,12.34391,75,"Svend Aage Olsen","jord eller humus","blandskov (med løv- og nåletræer)","birk (Betula)","","De første Jeg har set i Vestskoven.","Svend Aage Olsen","Svend Aage Olsen","https://svampe.databasen.org/observations/122635"
"DMS-159261","","2011-08-06T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gadevang","Denmark",55.96261,12.2858,75,"Dan Ingemann Jensen","jord eller humus","løvskov","bøg (Fagus)","","","Dan Ingemann Jensen","Dan Ingemann Jensen","https://svampe.databasen.org/observations/159261"
"DMS-160134","","2011-08-08T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Silistria, Thorskov, Marselisborg","Denmark",56.11446,10.22449,75,"Flemming V. Larsen","løv- eller nåledække, løse blade og nåle","blandskov (med løv- og nåletræer)","gran (Picea)","[Associated organism: gran (Picea), fyr (Pinus),]","Første gang jeg med sikkerhed  finder den i Århus skovene. Tog et billede; men der kom en dråbe på linsen, så det er lidt sløret","Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/160134"
"DMS-162625","","2011-08-16T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Uggerby Klitplantage","Denmark",57.5795,10.03867,50,"Lisbeth Brendstrup","jord eller humus","egekrat","eg (Quercus)","","","Lisbeth Brendstrup","Lisbeth Brendstrup","https://svampe.databasen.org/observations/162625"
"DMS-162891","","2011-08-17T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Dyrehave, Rågårds Mose","Denmark",55.90257,12.3534,100,"Frank Desting","jord eller humus","løvskov","bøg (Fagus)","2 modne frl. i bøgeskov","","Frank Desting","Henrik Mathiassen","https://svampe.databasen.org/observations/162891"
"DMS-162904","","2011-08-12T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Galsklint","Denmark",55.51459,9.68945,25,"Jette Anitha Hansen","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)","","","Jette Anitha Hansen","Jette Anitha Hansen","https://svampe.databasen.org/observations/162904"
"DMS-323438","","2011-09-04T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Varde Søndre Plantage","Denmark",55.60037,8.52711,100,"Charly Rise","jord eller humus","nåleskov/plantage","","","","Charly Rise","Charly Rise","https://svampe.databasen.org/observations/323438"
"DMS-353194","","2011-09-04T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Draved Skov","Denmark",55.01486,8.971334,100,"Per Thomassen","løv- eller nåledække, løse blade og nåle","løvskov","","[Associated organism: Svampen voksede på terrænet]","","Per Thomassen, Per Thomassen","","https://svampe.databasen.org/observations/353194"
"DMS-372237","","2011-09-11T00:00:00.000Z","Rejected",10273,"Amanita virosa","","snehvid fluesvamp","LC","Fruens Plantage","Denmark",55.21028,11.7946,10,"Frede Scheye","jord eller humus","blandskov (med løv- og nåletræer)","","","","Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/372237"
"DMS-372444","","2011-09-18T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Havskov","Denmark",56.26446,10.34942,25,"Rasmus Ejrnæs","jord eller humus","løvskov med naturskovspræg","","Fagus og Quercus","","Rasmus Ejrnæs","Rasmus Ejrnæs","https://svampe.databasen.org/observations/372444"
"DMS-455356","","2012-08-18T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Kongens Mose","Denmark",55.01758,8.945292,150,"Thomas Kehlet","jord eller humus","løvskov","bøg (Fagus)","","","Thomas Kehlet","Thomas Kehlet","https://svampe.databasen.org/observations/455356"
"DMS-455947","","2012-08-19T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Hønning Plantage","Denmark",55.17748,8.93836,10,"Margaretha Liebmann","jord eller humus","blandskov (med løv- og nåletræer)","","bøg;eg;","","Margaretha Liebmann","Margaretha Liebmann","https://svampe.databasen.org/observations/455947"
"DMS-457592","","2012-08-25T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Tumlingevang","Denmark",56.0298,12.35295,500,"Bjørn W. Pedersen","jord eller humus","løvskov","bøg (Fagus)","","","Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/457592"
"DMS-459360","","2012-08-26T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Stråsø Plantage","Denmark",56.27331,8.46973,50,"Benny Christensen","jord eller humus","nåleskov/plantage","","[Associated organism: rødgran ]","Et enkelt lille frugtlegeme (foto 1). Samme frl. 29/8 (foto 2).Yderligere to nye frl. på stedet 29/8.","Benny Christensen","Benny Christensen","https://svampe.databasen.org/observations/459360"
"DMS-459538","","2012-09-02T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Græsted Hegn","Denmark",56.06657,12.26503,100,"Thomas Kehlet","jord eller humus","løvskov","bøg (Fagus)","","","Thomas Kehlet","Thomas Kehlet","https://svampe.databasen.org/observations/459538"
"DMS-459790","","2012-09-02T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Hareskov","Denmark",55.76421,12.41678,100,"Ole Terney","jord eller humus","løvskov","bøg (Fagus)","","","","Ole Terney","https://svampe.databasen.org/observations/459790"
"DMS-460114","","2012-09-02T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Dyrehave","Denmark",55.91324,12.36277,50,"Henrik Mathiassen","jord eller humus","løvskov","bøg (Fagus)","","","Henrik Mathiassen","Henrik Mathiassen","https://svampe.databasen.org/observations/460114"
"DMS-463201","","2012-09-15T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Langesø, Morud","Denmark",55.43388,10.19825,50,"Mogens Holm","jord eller humus","nåleskov/plantage","","[Associated organism: rødgran (Picea)]","","Mogens Holm","Mogens Holm","https://svampe.databasen.org/observations/463201"
"DMS-465151","","2012-09-19T00:00:00.000Z","Rejected",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Stenholtsvang","Denmark",55.95109,12.33578,150,"Peter Lassen","jord eller humus","løvskov med naturskovspræg","","","","Peter Lassen","Peter Lassen","https://svampe.databasen.org/observations/465151"
"DMS-469174","","2012-09-28T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gindeskov Krat","Denmark",56.34208,8.99472,25,"Frede Scheye","jord eller humus","egekrat","","","","Frede Scheye","Jacob Heilmann-Clausen","https://svampe.databasen.org/observations/469174"
"DMS-474892","","2012-10-04T00:00:00.000Z","Rejected",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Hareskov","Denmark",55.76764,12.41095,50,"Frank Desting","jord eller humus","løvskov","bøg (Fagus)","1 modent frl. i ung bøgeskov","","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/474892"
"DMS-490997","","2005-08-27T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Sønderhavskovene","Denmark",54.863864,9.495964,150,"Jens Mårbjerg","jord eller humus","løvskov","eg (Quercus)","","","Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/490997"
"DMS-515073","","2013-08-20T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Ostrup Kobbel","Denmark",56.02381,12.33695,100,"Thomas Kehlet","jord eller humus","løvskov","bøg (Fagus)","","","Thomas Kehlet","Thomas Kehlet","https://svampe.databasen.org/observations/515073"
"DMS-515291","","2013-08-21T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Tumlingevang","Denmark",56.02463,12.36331,75,"Margot Nielsen","jord eller humus","løvskov","bøg (Fagus)","","","Margot Nielsen","Margot Nielsen","https://svampe.databasen.org/observations/515291"
"DMS-632783","","2013-09-22T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Lunken Plantage","Denmark",57.34051,10.11558,100,"Frede Scheye","jord eller humus","blandskov (med løv- og nåletræer)","","","","Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/632783"
"DMS-636281","","2013-09-23T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Stråsø Plantage","Denmark",56.25221,8.42877,25,"Benny Christensen","jord eller humus","nåleskov/plantage","gran (Picea)","","","Benny Christensen","","https://svampe.databasen.org/observations/636281"
"DMS-712985","","2015-08-23T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Nyrup Hegn","Denmark",56.01173,12.5389,50,"Anne Storgaard","jord eller humus","løvskov","bøg (Fagus)","","Medbringes til Åbent Hus 24.8. Jeg er i tvivl om den evt. er for ung til at kunne bruges af den svenske fluesvampesamler.","Anne Storgaard","Anne Storgaard","https://svampe.databasen.org/observations/712985"
"DMS-715059","","2015-09-06T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tisvilde Hegn","Denmark",56.0341,12.04179,50,"Anne Storgaard","jord eller humus","blandskov (med løv- og nåletræer)","fyr (Pinus)","Også unge birk i nærheden","3 frugtlegemer med ca. 10 meters afstand. Sandsynligvis samme mycelium. Medbringes til åbent hus 7.9.15. Herefter til tørret til TL til vores svenske svampeven.","","Anne Storgaard","https://svampe.databasen.org/observations/715059"
"DMS-9168506","","2016-07-23T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Hejede Overdrev","Denmark",55.56504841538104,11.891035077860579,75,"Bjørn W. Pedersen","jord eller humus","løvskov","birk (Betula), bøg (Fagus)","På morbund på stejl skråning væk fra Avnsø",,"Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/9168506"
"DMS-9169637","","2016-08-05T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Hareskov","Denmark",55.771890253933535,12.40278862416744,50,"Frank Desting","jord eller humus","løvskov","bøg (Fagus)","2 modne frl. og 2 'æg' under bøg",,"Frank Desting","Frank Desting","https://svampe.databasen.org/observations/9169637"
"DMS-9170722","","2016-08-20T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Kongeegen","Denmark",55.90966315652945,11.989750061184168,10,"Thomas Stjernegaard Jeppesen","jord eller humus","løvskov","bøg (Fagus)",,,"Thomas Stjernegaard Jeppesen","Thomas Stjernegaard Jeppesen","https://svampe.databasen.org/observations/9170722"
"DMS-9170905","","2016-08-21T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Hesselholt Skov","Denmark",56.7913,9.85901,2500,"Jakob S.M Raarup","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)",,,"Jakob S.M Raarup","Jakob S.M Raarup","https://svampe.databasen.org/observations/9170905"
"DMS-9171232","","2016-08-25T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Fløjstrup Skov","Denmark",56.08156766870945,10.250453352928162,50,"Flemming V. Larsen","jord eller humus","løvskov","birk (Betula), bøg (Fagus), eg (Quercus)",,,"Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/9171232"
"DMS-9173107","","2016-09-10T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Varde Søndre Plantage","Denmark",55.59377,8.521099,2500,"Tina Larsen","jord eller humus","løvskov","bøg (Fagus)",,"kegleformet hat ,fedtet og lugt kvalm,3cm bred.stok flosset hvid og med knold pose,stok 13cm","Tina Larsen","Thomas Læssøe","https://svampe.databasen.org/observations/9173107"
"DMS-9176954","","2016-10-01T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tisvilde Hegn","Denmark",56.03469830638744,12.037468670750968,50,"Ole B. Lyshede","jord eller humus","blandskov (med løv- og nåletræer)","birk (Betula)",,,"Ole B. Lyshede","Ole B. Lyshede","https://svampe.databasen.org/observations/9176954"
"DMS-9202359","","2017-08-10T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Arden Skov","Denmark",56.80257015274628,9.913272857666016,50,"Arne Pedersen","jord eller humus","løvskov med naturskovspræg","bøg (Fagus)","Mager jordtype.",,"Arne Pedersen","Arne Pedersen","https://svampe.databasen.org/observations/9202359"
"DMS-9202792","","2017-08-12T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tisvilde Hegn, Asserbo slotsruin","Denmark",56.02860781897104,12.051040648366323,75,"Thomas Læssøe","jord eller humus","blandskov (med løv- og nåletræer)","birk (Betula), gran (Picea), fyr (Pinus), eg (Quercus)",,,"Thomas Læssøe","Thomas Læssøe","https://svampe.databasen.org/observations/9202792"
"DMS-9202976","","2017-08-10T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Duemosehus","Denmark",56.008711127359355,12.284857391787227,25,"Jakob S.M Raarup","jord eller humus","blandskov (med løv- og nåletræer)","lærk (Larix)",,,"Jakob S.M Raarup","Jakob S.M Raarup","https://svampe.databasen.org/observations/9202976"
"DMS-9204130","","2017-08-18T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gadevang","Denmark",55.95890552025216,12.308465538080782,75,"Dan Ingemann Jensen","jord eller humus","løvskov","birk (Betula), gran (Picea), eg (Quercus)",,,"Dan Ingemann Jensen","Dan Ingemann Jensen","https://svampe.databasen.org/observations/9204130"
"DMS-9204374","","2017-08-18T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Vestre Sømark","Denmark",54.99620423284077,15.043570920825003,50,"Karen Nisbeth","jord eller humus","nåleskov/plantage","","Der er både gran, fyr og birk i området.
Sandbund",,"Karen Nisbeth","Karen Nisbeth","https://svampe.databasen.org/observations/9204374"
"DMS-9204921","","2017-08-20T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tisvilde Hegn, Enebærdalen","Denmark",56.03364333013802,12.0362788438797,75,"Thomas Kehlet","jord eller humus","nåleskov/plantage","birk (Betula), gran (Picea), fyr (Pinus)",,,"Thomas Kehlet, Ole Martin","Thomas Kehlet","https://svampe.databasen.org/observations/9204921"
"DMS-9205342","","2017-08-22T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Hvidekilde","Denmark",56.01244178818568,12.292487203812925,10,"Jakob S.M Raarup","jord eller humus","løvskov","bøg (Fagus), eg (Quercus)",,,"Jakob S.M Raarup","Jakob S.M Raarup","https://svampe.databasen.org/observations/9205342"
"DMS-9205343","","2017-08-22T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Grønnekilde","Denmark",56.016711813012215,12.295951008272823,25,"Jakob S.M Raarup","jord eller humus","løvskov","bøg (Fagus)",,,"Jakob S.M Raarup","Jakob S.M Raarup","https://svampe.databasen.org/observations/9205343"
"DMS-9205483","","2017-08-23T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Dyrehave","Denmark",55.91376415036508,12.376012802124023,75,"Jørgen Mikkelsen","jord eller humus","løvskov","bøg (Fagus)",,,"Jørgen Mikkelsen","Jørgen Mikkelsen","https://svampe.databasen.org/observations/9205483"
"DMS-9206279","","2017-08-26T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Ostrup Kobbel","Denmark",56.02564615207747,12.33188308775425,25,"Thomas Kehlet","jord eller humus","løvskov","bøg (Fagus)",,,"Thomas Kehlet, Tobias Bøllingtoft","Thomas Kehlet","https://svampe.databasen.org/observations/9206279"
"DMS-9206482","","2017-08-27T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tolne Bakker","Denmark",57.48392222,10.336525,15,"Kasper Malmberg","jord eller humus","løvskov","bøg (Fagus)",,,"Kasper Malmberg","Kasper Malmberg","https://svampe.databasen.org/observations/9206482"
"DMS-9206436","","2017-08-26T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Ostrup Kobbel","Denmark",56.023595634210004,12.332625389099121,50,"Thomas Kehlet","jord eller humus","løvskov","bøg (Fagus)",,,"Thomas Kehlet, Tobias Bøllingtoft","Tobias Bøllingtoft","https://svampe.databasen.org/observations/9206436"
"DMS-9207201","","2017-08-29T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Stensgård Skove","Denmark",55.13031749759311,10.265711098909378,75,"Maria Eriksson","jord eller humus","blandskov (med løv- og nåletræer)","",,,"Maria Eriksson","Maria Eriksson","https://svampe.databasen.org/observations/9207201"
"DMS-9207911","","2017-09-01T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gummerød","Denmark",55.43802241232701,12.08698654489126,75,"Per Schilling","jord eller humus","løvskov","bøg (Fagus)","Stod i gammel bøgeskov hist og her",,"Per Schilling","Per Schilling","https://svampe.databasen.org/observations/9207911"
"DMS-9208304","","2017-09-03T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Silkeborg Nordskov","Denmark",56.15799,9.591843,2500,"Niels V. Mogensen","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)","Under gran og bøg",,"Niels V. Mogensen","Niels V. Mogensen","https://svampe.databasen.org/observations/9208304"
"DMS-9208414","","2017-09-03T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Dyrehave","Denmark",55.92531916320537,12.34183944761753,25,"Dan Ingemann Jensen","jord eller humus","løvskov","bøg (Fagus)",,,"Dan Ingemann Jensen","Dan Ingemann Jensen","https://svampe.databasen.org/observations/9208414"
"DMS-9209332","","2017-09-08T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Hareskov","Denmark",55.76993491247196,12.420644760131836,25,"Frank Desting","jord eller humus","nåleskov/plantage","gran (Picea)","1 mycelium med frl. under gran",,"Frank Desting","Frank Desting","https://svampe.databasen.org/observations/9209332"
"DMS-9210847","","2017-09-12T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Lovisehøj","Denmark",56.155254719317355,9.580196142196655,10,"Morten Strandberg","jord eller humus","nåleskov/plantage","gran (Picea)",,,"Morten Strandberg","Morten Strandberg","https://svampe.databasen.org/observations/9210847"
"DMS-9214880","","2017-09-21T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Knagerne, Silkeborg Vesterskov","Denmark",56.14162847100495,9.535463328938931,75,"Grith Styrck Carlsen","jord eller humus","løvskov med naturskovspræg","",,,"Grith Styrck Carlsen","Grith Styrck Carlsen","https://svampe.databasen.org/observations/9214880"
"DMS-9217668","","2017-09-25T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Arden Skov","Denmark",56.806024089872814,9.918293952941895,25,"Arne Pedersen","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)",,,"Arne Pedersen","Arne Pedersen","https://svampe.databasen.org/observations/9217668"
"DMS-9230824","","2017-10-24T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Store Hareskov","Denmark",55.76980556,12.41957778,15,"Sissel Fredsgaard","løv- eller nåledække, løse blade og nåle","løvskov med naturskovspræg","","bøgeskov","Frugtlegeme 7 x 1.5 cm, knold ved basis 1 cm bred. Lugt ikke som rå kartoffel. Tydelig ring på stok og pose ved basis.","Sissel Fredsgaard","Sissel Fredsgaard","https://svampe.databasen.org/observations/9230824"
"DMS-9322741","","2018-08-28T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Tversted Plantage","Denmark",57.60598604483469,10.2338247296575,10,"Mogens Bærendtsen","jord eller humus","nåleskov med naturskovspræg","birk (Betula)","I klitplantage med fyr og birk.","Stort flot eksemplar. Ingen duft af rå kartofler.","Mogens Bærendtsen","Uffe Nygaard","https://svampe.databasen.org/observations/9322741"
"DMS-9324274","","2018-08-31T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Langmose","Denmark",56.79439221677067,9.966668263077734,50,"Rasmus Skræp Sørensen","jord eller humus","løvskov med naturskovspræg","bøg (Fagus sylvatica)",,,"Rasmus Skræp Sørensen","Rasmus Skræp Sørensen","https://svampe.databasen.org/observations/9324274"
"DMS-9325001","","2018-09-01T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Gribskov, Enghavehus","Denmark",55.98552737478425,12.28303243406117,10,"Ole Sparre Pedersen","jord eller humus","løvskov","bøg (Fagus)","",,"Ole Sparre Pedersen","Ole Sparre Pedersen","https://svampe.databasen.org/observations/9325001"
"DMS-9326093","","2018-09-04T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Jægersborg Hegn","Denmark",55.80841111,12.56921944,15,"Tarquin Netherway","jord eller humus","løvskov","bøg (Fagus sylvatica)",,"All white, no veil remnants on pileus, smell sickly sweet.","Tarquin Netherway","Tarquin Netherway","https://svampe.databasen.org/observations/9326093"
"DMS-9327006","","2018-09-08T00:00:00.000Z","approved",10273,"Amanita virosa","","snehvid fluesvamp","LC","Solbjerg Sønderskov","Denmark",56.79361111,10.16083333,15,"Kasper Malmberg","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)",,,"Kasper Malmberg","Kasper Malmberg","https://svampe.databasen.org/observations/9327006"
