"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-11409","","2009-07-28T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Nørlund Skov","Denmark",56.78082,9.7724,25,"Erik Arnfred Thomsen","jord eller humus","skovmose","","Sad i knippe under birk / rødgran","Belæg indsamlet - Orangebrun skørhat er bedste bud ud fra økologi og beskrivelse. Lameller dog samme rødbrune farve som resten af svampen på relativt unge eksemplar. stok mere end 1 cm i tykkelse. helt unge eksemplarer har hatsvøb. ","Erik Arnfred Thomsen","Jan Vesterholt","https://svampe.databasen.org/observations/11409"
"DMS-59388","","2009-09-09T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Velling Igelsø","Denmark",56.04223,9.52523,100,"Torbjørn Borgen","jord eller humus","løvskov med naturskovspræg","bøg (Fagus)","5 eks. tæt ved basis af ældre bøg!","Jeg ved ikke om der er danske fund under bøg, derfor bevares materialet. Sporer overvejende ellipsoidiske ca. 9-9.5 x 6.5-7.5 µm, tydeligt vortede.","Torbjørn Borgen","Torbjørn Borgen","https://svampe.databasen.org/observations/59388"
"DMS-61883","","2009-09-18T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Slåensø","Denmark",56.12604,9.62325,50,"Lise Samsø","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)","","har belæg","Lise Samsø","Lise Samsø","https://svampe.databasen.org/observations/61883"
"DMS-62812","20090921-3","2009-09-21T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Inderø Skov","Denmark",56.386,9.3534,25,"Jens Chr. Schou","jord eller humus","løvskov med naturskovspræg","","","","Jens Chr. Schou","Jan Vesterholt","https://svampe.databasen.org/observations/62812"
"DMS-72706","","2009-10-14T00:00:00.000Z","Rejected",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Bøllemosen, Jægersborg Hegn","Denmark",55.82479,12.55531,50,"Lisbeth Brendstrup","løv- eller nåledække, løse blade og nåle","nåleskov/plantage","","","foto og belæg følger","Lisbeth Brendstrup","Lisbeth Brendstrup","https://svampe.databasen.org/observations/72706"
"DMS-103621","","2010-08-15T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Egebjerggård Storskov","Denmark",55.61741,10.31073,50,"Margot Nielsen","jord eller humus","løvskov","bøg (Fagus)","","Belæg sendes.","Margot Nielsen","Margot Nielsen","https://svampe.databasen.org/observations/103621"
"DMS-104187","","2010-08-17T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Rye Nørreskov","Denmark",56.09014,9.74333,100,"Jens Mårbjerg","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus), gran (Picea)","Stod bredsået langs søen under gamle bøge og grantræer [Associated organism: bøg, gran]","Jeg fortolker nedenstående som foto eller belæg (?)","Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/104187"
"DMS-104926","","2010-08-12T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Silkeborg Sønderskov","Denmark",56.12546,9.59192,75,"Niels V. Mogensen","jord eller humus","løvskov med naturskovspræg","","","Gammel løvskov med nærtstående graner. Torbjørn Borgen har modtaget belæg og angiver sporerne som typiske","Niels V. Mogensen","Torbjørn Borgen","https://svampe.databasen.org/observations/104926"
"DMS-105742","","2010-08-22T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Silkeborg Sønderskov","Denmark",56.12155,9.611244,150,"Torbjørn Borgen","jord eller humus","nåleskov/plantage","","mindre flok i mos på lille bakketop [Associated organism: Rødgran (Picea abies)]","typisk fund, fund fra bøg endnu ikke kritisk sammenlignede med c. orellanus, foto oploades senere","Torbjørn Borgen","Torbjørn Borgen","https://svampe.databasen.org/observations/105742"
"DMS-106346","","2010-08-22T00:00:00.000Z","approved",12587,"Cortinarius rubellus","","puklet gift-slørhat","LC","Silkeborg Sønderskov","Denmark",56.12529,9.59175,25,"Torbjørn Borgen","jord eller humus","løvskov med naturskovspræg","bøg (Fagus)","talrig på skråning ned mod søen, 2-3 mycelier","Samme mycelium som Niels Mogensens fund fra 12.08.2010. Se diskussionen der: Beskrivelse: Cortinarius “cf. rubellus” TB 10.xxx, Silkeborg Sønderskov, 22.08.2010, in quite natural beech forest on the slope towards Brassø, peninsula xxx, leg TB & Niels Mogensen, in fair quantity, probably two mycelia in one place, another about 200 m longer to the S. Photos: (TB) DSCN 4514, 4521 Pileus convex to somewhat campanulate, frequently somewhat lobed, tomentose, not genuinely squamulose, slightly subsquamulose at centre, margin opaque, very slightly subhygrophanous, brownish orange about Mu. 5YR5/6 outwards 4.5/4 to warmer than 5YR5/7 centre about 2.5YR4/5, in older specimen near 2.5YR3.5/6 about 32-48 mm wide.  Lamellae more or less close, narrowly emarginated, about 3.5 mm wide, slightly ventricose(fairly) thin, edge entire, glabrous, when young about 5YR5/5, at maturity more rusty brown, slightly darker than 2.5YR5.5/6. Stipe e.g. 70 x 17 mm, typically broadest in the middle and fusiform towards base, rarely subcylindrical, then e.g. 75 x 11 mm, sordid ochre- to reddish brown, dry and dull, lengthily (coarsely) fibrillose to cortina pale yellowish velum zones not very conspicuous, slightly paler than 10YR7/6. Context fairly thin in pileus, firm, concolorous under pileipellis elsewhere, downwards yellowish white, in stipe sordid ochre-brownish, slightly darker the next day. Smell indistinctly raphanoid, to indistinctly like extinguishing candle, or more like a moist cellar (the next day). Spore-print failed. Spores (14/1): (8.9-)9.1-9.8(-10.3) x 6.6-7.8 (-8.1) µm, shortly ellipsoid, less frequently subamygdaloid to ovoid, Av. = 9.5 x 7.3 µm, Q = (1.2-)1.25-1.35, Qav. = 1.31, some slightly thick-walled, warts distinct, small to medium, plage present.  The other collection was photographed, but not described, phot.:  Differs from C. rubellus (directly compared specimens growing under Picea abies nearby) in the following: Pileus shape variable and not prominently umbonate, lack of genuine scales, more or less paler. Lamellae paler at least when young, narrow. Stipe shape different. Spores about same size and shape, but warts partly coarser, with plage. Does not fit related, named species from N Europe, the French work is not yet studied. Fotos oploades senere","Torbjørn Borgen, Niels V. Mogensen","Torbjørn Borgen","https://svampe.databasen.org/observations/106346"
