"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-8140","","2009-06-09T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Allerslev","Denmark",55.08099,12.03678,2,"Leo de Jong","jord eller humus","park/kirkegård","","[Associated organism: Storbladet Lind og en enkelt heste kastanie]","Rødmer og de lyse lameller i ung tilstand, voksestedet,årstiden.","Leo de Jong","Leo de Jong","https://svampe.databasen.org/observations/8140"
"DMS-9784","","2009-07-14T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Denderup Vænge","Denmark",55.25081,11.97402,10,"Leo de Jong","jord eller humus","løvskov","bøg (Fagus)","under bøg","Hat kegleformet, ujævn, radiært fibret, lameller hvide med mange korte imellem, Stokken er cilindrisk dog indsnævret. alle deleaf  svampen oranger efter berøring og indtørring. - Danmarks svampe","Leo de Jong","Leo de Jong","https://svampe.databasen.org/observations/9784"
"DMS-9838","","2009-07-15T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Møns Klint","Denmark",54.98611,12.54101,25,"Leo de Jong","jord eller humus","løvskov","bøg (Fagus)","","radiært fibret og bliver orange","Leo de Jong","Leo de Jong","https://svampe.databasen.org/observations/9838"
"DMS-96120","","2010-06-11T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Allerslev","Denmark",55.08102,12.0367,2,"Leo de Jong","jord eller humus","park/kirkegård","lind (Tilia)","","Samme sted som sidste år, billede er på vej.","Leo de Jong","Leo de Jong","https://svampe.databasen.org/observations/96120"
"DMS-96808","","2010-06-16T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Horserød Hegn","Denmark",56.03192,12.51617,75,"Bjørn W. Pedersen","jord eller humus","vejkant","","[Associated organism: Bøg eller gran]","Den ret kraftige, hvidlige,rødmende trævlhat, og årstiden. Belæg følger","Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/96808"
"DMS-97155","","2010-06-18T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Sundby Kirkegård","Denmark",55.65691,12.61791,25,"Grith Styrck Carlsen","jord eller humus","park/kirkegård","","mellem ungt egetræ og bøgehæk [Associated organism: eg/bøg]","Danske Storsvampe (+ F.N.).Lys/brunorange. rødmer hurtigt.Lameller udr., sporer 12,5 x 6,25, form som i F.N s. 875A, n.t.v. Belæg haves","Grith Styrck Carlsen","Thomas Læssøe","https://svampe.databasen.org/observations/97155"
"DMS-97340","","2010-06-20T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Tisvilde Hegn, Asserbo slotsruin","Denmark",56.02635,12.05168,50,"Margot Nielsen","jord eller humus","blandskov (med løv- og nåletræer)","","Også nær eg, bøg, birk, fyr og gran [Associated organism: Ægte kastanje (Castanea)]","Hat 2-5 cm, gulligt cremefarvet. Hatkød med rosa skær. Udrandede, cremefarvede lameller med rosa skær. Stok 3-6 x 0,5-0,8 cm, lys, cylindrisk med let fortykket stokbasis. Intet slør. Hele svampen anløber kraftigt orangerødt. Ubetydelig lugt. Belæg sendes.","Margot Nielsen","Thomas Læssøe","https://svampe.databasen.org/observations/97340"
"DMS-97369","","2010-06-21T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Vestre Kirkegård, København","Denmark",55.65745,12.53304,50,"Benny T. Olsen","jord eller humus","park/kirkegård","bøg (Fagus)","","Kraftig hvid trævlhat, rødlig anløbende.","Benny T. Olsen","Benny T. Olsen","https://svampe.databasen.org/observations/97369"
"DMS-97919","","2010-06-27T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Lille Hareskov","Denmark",55.76788,12.381,25,"Svend Aage Olsen","","løvskov","","ivejkanten under ung Bøg. [Associated organism: Bøg. (Fagus)]","Danske Storsvampe. belæg følger.","Svend Aage Olsen","Svend Aage Olsen","https://svampe.databasen.org/observations/97919"
"DMS-98171","","2010-06-30T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Lille Hareskov","Denmark",55.76494,12.38537,75,"Svend Aage Olsen","jord eller humus","løvskov","","langs Cykelstien. [Associated organism: Bøg. (Fagus)]","Danske storsvampe og den kraftige rødmen vedberøring.","Svend Aage Olsen","Svend Aage Olsen","https://svampe.databasen.org/observations/98171"
"DMS-98313","","2010-07-08T00:00:00.000Z","approved",69765,"Inosperma erubescens","Inocybe erubescens","giftig trævlhat","LC","Ganløse Ore","Denmark",55.80336,12.31164,75,"Bjørn W. Pedersen","jord eller humus","løvskov","bøg (Fagus)","","Ret kødet, rødmende trævlhat. Belæg følger","Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/98313"
