"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-9236","","2009-06-29T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Slagelse Lystskov","Denmark",55.39593,11.39192,50,"Mogens Bærendtsen","jord eller humus","løvskov","bøg (Fagus)","","Godt set på billede.! Flovt for mig. Ved nærmere eftersyn i fuldt lys er farven ikke rødmende men brunlig anløbende. Ring riflet overside. Roeknoldet som A rubéscens. Grålig under ring. Må være Amanita excelsa.","Mogens Bærendtsen","Mogens Bærendtsen","https://svampe.databasen.org/observations/9236"
"DMS-9368","","2009-07-03T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Åkær Hestehave","Denmark",55.92358,10.09747,25,"Peter Lausted","jord eller humus","løvskov","","i græs under højbøg","","Peter Lausted","Peter Lausted","https://svampe.databasen.org/observations/9368"
"DMS-9391","","2009-07-05T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Hedenstedskov","Denmark",55.74879,9.69658,2,"Jette Anitha Hansen","jord eller humus","løvskov","bøg (Fagus)","","Ring tydelig furet.","Jette Anitha Hansen","Jette Anitha Hansen","https://svampe.databasen.org/observations/9391"
"DMS-9410","","2009-07-03T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Hornbæk Plantage, Nordsjælland","Denmark",56.0904,12.49154,100,"Mogens Bærendtsen","løv- eller nåledække, løse blade og nåle","blandskov (med løv- og nåletræer)","fyr (Pinus)","Omringet af fyr og bøg","","Mogens Bærendtsen","Mogens Bærendtsen","https://svampe.databasen.org/observations/9410"
"DMS-9533","","2009-07-10T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,1000,"Frank Desting","jord eller humus","nåleskov/plantage","","","3 modne frl. i granskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/9533"
"DMS-9682","","2009-07-12T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Teglstrup Hegn","Denmark",56.04386,12.56207,50,"Margot Nielsen","jord eller humus","nåleskov/plantage","gran (Picea)","","","Margot Nielsen","Margot Nielsen","https://svampe.databasen.org/observations/9682"
"DMS-9778","","2009-07-14T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,1000,"Frank Desting","jord eller humus","nåleskov/plantage","","","1 modent frl. i nåleskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/9778"
"DMS-10186","","2009-07-20T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,100,"Frank Desting","jord eller humus","løvskov","","","2 modne frl. i løvskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/10186"
"DMS-48753","","2009-08-03T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Silkeborg Nordskov","Denmark",56.16725,9.59776,100,"Morten Strandberg","jord eller humus","vejkant","gran (Picea)","","Eventuelt porfyrfluesvamp, men hathud og stokbeklædning ser forkert ud. Lugter af kartoffel som derfor er porfyrfluesvamp nok det bedste bud, men den fandt jeg lidt efter til sammenligning, og der er altså mange markante forskelle. Der kommer fire billeder 1. knolden som måske rødmer udvendigt, 2. hele svampen, 3. hat ring og lameller, 4. sammenligning med porfyr","Morten Strandberg","Thomas Læssøe","https://svampe.databasen.org/observations/48753"
"DMS-49934","","2009-08-10T00:00:00.000Z","approved",10230,"Amanita excelsa","","høj fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,100,"Frank Desting","jord eller humus","nåleskov/plantage","","","2 modne frl. i granskov","Frank Desting","Thomas Læssøe","https://svampe.databasen.org/observations/49934"
