"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-9369","","2009-07-03T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Hornbæk Plantage, Nordsjælland","Denmark",56.07635,12.50133,75,"Mogens Bærendtsen","jord eller humus","græsplæne","bøg (Fagus)","under bøg på sommerhusgrund","fejl: Selvfølgelig Rødmende fluesvamp - hjælp til retning??","Mogens Bærendtsen","Jan Vesterholt","https://svampe.databasen.org/observations/9369"
"DMS-106158","","2010-08-21T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Strandkær, Mols","Denmark",56.23129,10.57441,150,"Hanne Farnæs","jord eller humus","overdrev","","","Hat gullig. Flosset under ringen,gul rand, ingen pose,","Hanne Farnæs","Thomas Læssøe","https://svampe.databasen.org/observations/106158"
"DMS-109397","","2010-08-31T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Bæsted Skov","Denmark",55.61607,11.87064,50,"Tom Smidth","jord eller humus","løvskov","bøg (Fagus)","","","Tom Smidth","Thomas Læssøe","https://svampe.databasen.org/observations/109397"
"DMS-169112","","2011-08-30T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Ryegårds Skove","Denmark",55.67636,11.84397,25,"Tom Smidth","jord eller humus","græsningsskov/dyrehave","bøg (Fagus)","","du får et foto, ringen er jo ikke ubetinget smal. jeg tog den ikke med hjem","Tom Smidth","Tom Smidth","https://svampe.databasen.org/observations/169112"
"DMS-322947","","2011-09-03T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Hesede Skov","Denmark",55.27734,11.93058,150,"Ebbe Kristensen","jord eller humus","blandskov (med løv- og nåletræer)","","der var bøg, thuja, gran i nærheden","Det er jo nok en Høj fluesvamp, men syntes den er meget lys. Rødmer ikke. Belæg haves","Ebbe Kristensen, Kris","Thomas Læssøe","https://svampe.databasen.org/observations/322947"
"DMS-446625","","2012-06-14T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Havreballe Skov","Denmark",56.1324,10.199,75,"Flemming V. Larsen","jord eller humus","løvskov","bøg (Fagus), eg (Quercus)","[Associated organism: bøg (Fagus), eg (Quercus) ]","Jeg følger den de kommende dage og ser hvad det bliver til","Flemming V. Larsen","Flemming V. Larsen","https://svampe.databasen.org/observations/446625"
"DMS-463572","","2012-09-16T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Bodskov","Denmark",55.18269,9.56137,100,"Frank Abrahamsson","jord eller humus","løvskov","","","Under Bøg. Hat ø45, højde 65mm, stok 6mm kegle.","Frank Abrahamsson","Thomas Læssøe","https://svampe.databasen.org/observations/463572"
"DMS-464083","","2012-09-18T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Stenskov","Denmark",55.27958,11.76958,100,"Ebbe Kristensen","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)","","Hvidt sporestøv, lameller frie, hat 55mm glat og tør. Stok 70*6mm med lille knold. Belæg","Ebbe Kristensen, Kris","Tobias Frøslev","https://svampe.databasen.org/observations/464083"
"DMS-643085","","2013-10-12T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Signekær","Denmark",55.2408,10.13874,10,"Kirsten Munch Pontoppidan","jord eller humus","løvskov","bøg (Fagus)","","Sp ca 5x7µm, cystider ballonformede.","Kirsten Munch Pontoppidan","Jens H. Petersen","https://svampe.databasen.org/observations/643085"
"DMS-668574","","2014-06-17T00:00:00.000Z","approved",63479,"Amanita rubescens","","rødmende fluesvamp","LC","Ladegårdsmarken","Denmark",55.78326,12.43294,2500,"Tom Smidth","jord eller humus","blandskov (med løv- og nåletræer)","bøg (Fagus)","","ikke rødmende","Tom Smidth","Tom Smidth","https://svampe.databasen.org/observations/668574"
