"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-11391","","2009-07-28T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Staksrode Skov","Denmark",55.6856,9.860331,150,"Jette Anitha Hansen","jord eller humus","nåleskov/plantage","gran (Picea)","","","Jette Anitha Hansen","Jette Anitha Hansen","https://svampe.databasen.org/observations/11391"
"DMS-60803","","2009-09-15T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,1000,"Frank Desting","jord eller humus","nåleskov/plantage","","","5 modne frl. i udkanten af granskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/60803"
"DMS-67040","","2009-09-19T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Fruens Plantage","Denmark",55.21017,11.79413,25,"Frede Scheye","jord eller humus","nåleskov/plantage","","","","Frede Scheye","Frede Scheye","https://svampe.databasen.org/observations/67040"
"DMS-68389","","2009-10-06T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Fedtmosen","Denmark",55.75377,12.43272,1000,"Frank Desting","jord eller humus","mose","","","8 modne frl. under gran og div. løvtræer i Fedtmosen","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/68389"
"DMS-73068","","2009-10-16T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,1000,"Frank Desting","jord eller humus","nåleskov/plantage","","","3 modne frl. i udkanten af granskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/73068"
"DMS-73313","","2009-10-04T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","svampejagtlokalitet","Denmark",55.85491,11.51459,1250,"John Damm Sørensen","løv- eller nåledække, løse blade og nåle","blandskov (med løv- og nåletræer)","","","","John Damm Sørensen","John Damm Sørensen","https://svampe.databasen.org/observations/73313"
"DMS-74726","","2009-10-23T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Store Hareskov","Denmark",55.76747,12.41423,1000,"Frank Desting","jord eller humus","nåleskov/plantage","","","5 modne frl. i udkanten af granskov","Frank Desting","Frank Desting","https://svampe.databasen.org/observations/74726"
"DMS-76574","","2009-10-29T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Gribskov, Gribsø Trinbræt","Denmark",55.98709,12.30224,100,"Bjørn W. Pedersen","jord eller humus","nåleskov/plantage","","","","Bjørn W. Pedersen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/76574"
"DMS-81417","","2009-11-15T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Frederikshåb Plantage","Denmark",55.6756,9.1826,10,"Morten Strandberg","jord eller humus","nåleskov med naturskovspræg","fyr (Pinus)","","","Morten Strandberg","Morten Strandberg","https://svampe.databasen.org/observations/81417"
"DMS-110595","","2010-09-04T00:00:00.000Z","approved",10252,"Amanita muscaria","","rød fluesvamp","LC","Hillerød","Denmark",55.95924,12.29447,75,"Dan Ingemann Jensen","jord eller humus","løvskov","","","","Dan Ingemann Jensen","Dan Ingemann Jensen","https://svampe.databasen.org/observations/110595"
